state_ut,district,year,infanticid,other_murder,rape,kidnapping_and_abduction,foeticide,abetment_of_suicide,exposure_and_abandonment,procuration_of_minor_girls,buying_of_girls_for_prostitution,selling_of_girls_for_prostitution,prohibition_of_child_marriage_act,other_crimes,total
Maharashtra,AURANGABAD COMMR.,2013,0,4,6,39,1,0,4,0,0,0,2,36,92
Maharashtra,AURANGABAD RURAL,2013,0,4,16,12,0,1,1,0,0,0,1,24,59
Maharashtra,BEED,2013,0,12,37,23,0,1,6,1,0,0,2,63,145
Maharashtra,BHANDARA,2013,1,3,19,18,0,2,1,0,0,0,0,43,87
Maharashtra,BULDHANA,2013,0,6,33,19,0,0,4,0,0,0,1,59,122
Maharashtra,CHANDRAPUR,2013,0,4,52,33,2,2,3,0,0,0,0,93,189
Maharashtra,DHULE,2013,0,2,21,13,0,1,9,10,0,0,0,0,56
Maharashtra,GADCHIROLI,2013,0,1,17,3,0,0,0,0,0,0,0,29,50
Maharashtra,GONDIA,2013,0,2,23,9,0,0,0,0,0,0,0,32,66
Maharashtra,HINGOLI,2013,0,1,7,6,0,0,4,0,0,0,0,0,18
Maharashtra,JALGAON,2013,0,9,23,34,0,1,9,3,0,0,4,54,137
Maharashtra,JALNA,2013,0,3,4,2,0,0,6,0,0,0,0,5,20
Maharashtra,KOLHAPUR,2013,0,10,41,40,0,0,2,0,0,0,0,17,110
Maharashtra,LATUR,2013,0,4,7,2,0,0,0,0,0,0,0,25,38
Maharashtra,MUMBAI COMMR.,2013,2,7,221,279,9,2,26,2,0,2,0,352,902
Maharashtra,MUMBAI RLY.,2013,0,0,4,6,0,1,6,0,0,0,0,4,21
Maharashtra,NAGPUR COMMR.,2013,1,4,54,101,0,2,6,0,0,0,1,187,356
Maharashtra,NAGPUR RLY.,2013,0,0,1,3,0,0,23,0,0,0,0,0,27
Maharashtra,NAGPUR RURAL,2013,0,3,44,25,0,0,3,0,0,0,0,56,131
Maharashtra,NANDED,2013,0,4,22,25,1,0,22,0,0,0,0,45,119
Maharashtra,NANDURBAR,2013,0,1,10,8,0,0,3,0,0,0,0,14,36
Maharashtra,NASIK COMMR.,2013,0,1,8,26,0,1,5,0,0,0,0,31,72
Maharashtra,NASIK RURAL,2013,0,2,29,5,0,0,10,20,0,0,1,33,100
Maharashtra,NAVI MUMBAI,2013,1,7,33,63,0,2,5,0,0,0,0,69,180
Maharashtra,OSMANABAD,2013,0,0,23,28,0,3,3,0,0,0,0,34,91
Maharashtra,PARBHANI,2013,0,4,16,38,0,0,5,0,0,0,0,20,83
Maharashtra,PUNE COMMR.,2013,0,6,83,126,1,0,4,0,2,0,0,218,440
Maharashtra,PUNE RLY.,2013,0,1,3,2,0,0,8,0,0,0,0,0,14
Maharashtra,PUNE RURAL,2013,0,12,89,63,1,0,6,0,0,0,1,87,259
Maharashtra,RAIGAD,2013,0,2,21,9,0,0,0,0,0,0,0,19,51
Maharashtra,RATNAGIRI,2013,0,2,18,13,0,0,3,0,0,0,0,24,60
Maharashtra,SANGLI,2013,0,7,42,32,0,1,6,0,0,1,2,45,136
Maharashtra,SATARA,2013,0,9,44,43,1,0,5,0,0,0,0,90,192
Maharashtra,SINDHUDURG,2013,0,0,4,5,0,1,1,0,0,0,0,13,24
Maharashtra,SOLAPUR COMMR.,2013,0,4,19,17,0,0,1,4,0,0,0,0,45
Maharashtra,SOLAPUR RURAL,2013,0,9,35,18,0,0,10,0,0,0,1,38,111
Maharashtra,THANE COMMR.,2013,0,6,81,241,0,0,17,1,0,0,0,120,466
Maharashtra,THANE RURAL,2013,1,8,80,50,0,0,11,0,0,10,0,96,256
Maharashtra,WARDHA,2013,0,5,43,40,0,0,0,0,0,0,0,83,171
Maharashtra,WASHIM,2013,0,3,18,11,0,1,1,0,0,0,0,56,90
Maharashtra,YAVATMAL,2013,0,5,44,56,0,0,7,0,0,0,0,68,180
Maharashtra,TOTAL,2013,6,191,1546,1698,17,26,259,41,2,13,16,2595,6410
Manipur,BISHNUPUR,2013,0,0,7,4,0,0,0,0,0,0,0,0,11
Manipur,CHANDEL,2013,0,0,0,1,0,0,0,0,0,0,0,0,1
Manipur,CHURACHANDPUR,2013,0,0,0,0,0,0,0,2,0,0,0,0,2
Manipur,CID,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,IMPHAL EAST,2013,0,0,4,22,0,0,0,0,0,0,0,0,26
Manipur,IMPHAL WEST,2013,0,3,16,20,0,0,0,5,0,0,0,0,44
Manipur,SENAPATI,2013,0,0,0,3,0,0,0,0,0,0,0,0,3
Manipur,TAMENGLONG,2013,0,0,0,1,0,0,0,0,0,0,0,0,1
Manipur,THOUBAL,2013,0,0,13,5,0,0,0,15,0,0,0,2,35
Manipur,UKHRUL,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,TOTAL,2013,0,3,40,56,0,0,0,22,0,0,0,2,123
Meghalaya,GARO HILLS EAST,2013,0,4,4,0,0,0,0,0,0,0,0,0,8
Meghalaya,GARO HILLS NORTH,2013,0,1,0,2,0,0,0,0,0,0,0,3,6
Meghalaya,GARO HILLS SOUTH,2013,0,0,6,2,0,0,0,0,0,0,0,1,9
Meghalaya,GARO HILLS SOUTH W.,2013,0,0,5,0,0,0,0,0,0,0,0,0,5
Meghalaya,GARO HILLS WEST,2013,0,0,12,0,0,0,0,7,0,0,0,4,23
Meghalaya,JAINTIA HILLS EAST,2013,0,0,8,1,0,0,0,0,0,0,0,0,9
Meghalaya,JAINTIA HILLS WEST,2013,0,0,13,2,0,0,0,0,0,0,0,0,15
Meghalaya,KHASI HILLS EAST,2013,0,1,38,23,0,0,0,0,0,0,0,6,68
Meghalaya,KHASI HILLS SOUTH W.,2013,0,2,5,0,0,0,0,0,0,0,0,0,7
Meghalaya,KHASI HILLS WEST,2013,1,0,9,4,0,0,0,0,0,0,0,5,19
Meghalaya,RI-BHOI,2013,0,0,12,1,0,0,0,1,0,0,0,0,14
Meghalaya,TOTAL,2013,1,8,112,35,0,0,0,8,0,0,0,19,183
Mizoram,AIZAWL,2013,0,0,22,0,0,0,0,0,0,0,0,11,33
Mizoram,CHAMPHAI,2013,0,0,8,1,0,0,0,0,0,0,0,0,9
Mizoram,KOLASIB,2013,0,1,3,1,0,0,0,0,0,0,0,0,5
Mizoram,LAWNGTLAI,2013,0,0,3,0,0,0,0,0,0,0,0,0,3
Mizoram,LUNGLEI,2013,0,0,11,0,0,0,0,0,0,0,0,0,11
Mizoram,MAMIT,2013,0,1,3,0,0,0,0,0,0,0,0,6,10
Mizoram,SAIHA,2013,0,0,3,0,0,0,0,0,0,0,0,0,3
Mizoram,SERCHHIP,2013,0,0,4,0,0,0,0,0,0,0,0,0,4
Mizoram,SPL NARCOTIC,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,TRAFFIC PS,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,TOTAL,2013,0,2,57,2,0,0,0,0,0,0,0,17,78
Nagaland,DIMAPUR,2013,0,0,2,4,0,0,0,0,0,0,0,1,7
Nagaland,KIPHIRE,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,KOHIMA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,LONGLENG,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,MOKOKCHUNG,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,MON,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,PEREN,2013,0,0,1,0,0,0,0,0,0,0,0,0,1
Nagaland,PHEK,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,TUENSANG,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,WOKHA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,ZUNHEBOTO,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,TOTAL,2013,0,0,3,4,0,0,0,0,0,0,0,1,8
Odisha,ANGUL,2013,0,3,10,1,0,0,0,0,0,0,0,49,63
Odisha,BALASORE,2013,0,1,49,61,1,0,0,68,0,0,0,2,182
Odisha,BARAGARH,2013,0,1,32,27,0,0,0,0,0,0,0,0,60
Odisha,BERHAMPUR,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,BHADRAK,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,BOLANGIR,2013,0,0,24,0,0,0,0,0,0,0,0,0,24
Odisha,BOUDH,2013,0,0,39,36,0,0,0,0,0,0,0,0,75
Odisha,CUTTACK,2013,0,0,9,0,0,0,0,8,0,0,0,0,17
Odisha,DCP BBSR,2013,0,0,27,0,0,0,0,0,0,0,0,0,27
Odisha,DCP CTC,2013,0,0,0,0,0,0,0,0,0,0,0,26,26
Odisha,DEOGARH,2013,0,2,5,10,0,0,0,0,0,0,0,0,17
Odisha,DHENKANAL,2013,0,0,10,0,0,0,0,0,0,0,0,0,10
Odisha,GAJAPATI,2013,0,1,16,4,0,0,0,0,0,0,0,1,22
Odisha,GANJAM,2013,0,0,2,0,0,0,0,0,0,0,0,0,2
Odisha,JAGATSINGHPUR,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,JAJPUR,2013,0,0,24,0,0,0,0,0,0,0,0,0,24
Odisha,JHARSUGUDA,2013,0,0,4,24,0,0,0,1,0,0,0,0,29
Odisha,KALAHANDI,2013,0,7,41,46,0,0,0,0,0,0,0,0,94
Odisha,KANDHAMAL,2013,0,0,1,2,0,0,0,0,0,0,0,3,6
Odisha,KENDRAPARA,2013,0,3,23,37,0,0,0,0,0,0,0,0,63
Odisha,KEONJHAR,2013,0,2,60,6,0,0,0,0,0,0,0,0,68
Odisha,KHURDA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,KORAPUT,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,MALKANGIR,2013,0,0,9,0,0,0,0,0,0,0,0,0,9
Odisha,MAYURBHANJ,2013,0,1,4,2,0,0,0,0,0,0,0,43,50
Odisha,NAYAGARH,2013,0,0,12,23,0,0,0,0,0,0,0,0,35
Odisha,NOWRANGPUR,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,NUAPADA,2013,0,0,0,32,0,0,0,0,0,0,0,15,47
Odisha,PURI,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,RAYAGADA,2013,0,3,58,7,0,1,0,1,0,0,0,0,70
Odisha,ROURKELA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,SAMBALPUR,2013,0,2,6,2,0,0,0,0,0,0,0,0,10
Odisha,SONEPUR,2013,0,0,5,5,0,0,0,0,0,0,0,0,10
Odisha,SRP(CUTTACK),2013,0,0,0,0,0,0,0,1,0,0,0,0,1
Odisha,SRP(ROURKELA),2013,0,0,1,3,0,0,0,0,0,0,0,0,4
Odisha,SUNDARGARH,2013,0,2,38,38,0,0,0,0,0,0,0,0,78
Odisha,TOTAL,2013,0,28,509,366,1,1,0,79,0,0,0,139,1123
Punjab,AMRITSAR RURAL,2013,0,0,20,49,0,0,0,0,0,0,0,13,82
Punjab,BARNALA,2013,0,1,10,25,0,0,0,0,0,0,0,0,36
Punjab,BATALA,2013,0,0,26,26,1,0,0,0,0,0,0,6,59
Punjab,BHATINDA,2013,0,4,35,44,3,0,0,0,0,0,0,0,86
Punjab,CP AMRITSAR,2013,0,0,16,52,0,0,0,1,0,0,0,9,78
Punjab,CP JALANDHAR,2013,0,1,25,51,6,0,0,0,0,0,0,0,83
Punjab,CP LUDHIANA,2013,0,7,68,70,0,0,8,0,0,0,0,2,155
Punjab,FARIDKOT,2013,0,0,7,0,0,0,0,0,0,0,0,0,7
Punjab,FATEHGARH SAHIB,2013,1,0,8,14,0,0,0,0,0,0,0,8,31
Punjab,FAZILKA,2013,0,1,21,22,0,0,0,0,0,0,0,3,47
Punjab,FEROZPUR,2013,0,0,8,22,0,0,0,0,0,0,0,0,30
Punjab,G.R.P,2013,3,0,1,0,0,0,0,0,0,0,0,0,4
Punjab,GURDASPUR,2013,0,0,12,9,0,0,0,0,0,0,0,4,25
Punjab,HOSHIARPUR,2013,0,0,21,0,0,0,0,0,0,0,0,0,21
Punjab,JALANDHAR RURAL,2013,0,2,21,18,0,0,0,0,0,0,0,6,47
Punjab,KAPURTHALA,2013,0,2,9,27,0,0,0,0,0,0,0,6,44
Punjab,KHANNA,2013,0,0,13,6,0,0,0,0,0,0,0,0,19
Punjab,LUDHIANA RURAL,2013,0,0,6,16,0,0,0,0,0,0,0,0,22
Punjab,MANSA,2013,0,1,11,8,0,0,0,0,0,0,0,11,31
Punjab,MOGA,2013,3,1,9,22,0,0,0,0,0,0,0,0,35
Punjab,MUKTSAR,2013,0,1,10,38,0,0,0,0,0,0,0,8,57
Punjab,PATHANKOT,2013,0,1,6,9,0,0,0,0,0,0,0,0,16
Punjab,PATIALA,2013,0,3,37,44,2,0,0,0,0,0,0,4,90
Punjab,ROPAR,2013,0,0,7,19,0,0,0,0,0,0,0,0,26
Punjab,SANGRUR,2013,0,4,32,21,0,0,0,0,0,0,0,0,57
Punjab,SAS NGR,2013,0,0,21,57,0,0,0,0,0,0,0,18,96
Punjab,SBS NAGAR,2013,0,0,17,7,0,0,0,0,0,0,0,0,24
Punjab,TARN TARAN,2013,0,1,13,14,0,0,0,0,0,0,0,0,28
Punjab,TOTAL,2013,7,30,490,690,12,0,8,1,0,0,0,98,1336
Rajasthan,AJMER,2013,4,2,12,13,0,0,2,4,0,0,1,0,38
Rajasthan,ALWAR,2013,0,11,83,101,0,0,7,0,0,0,0,0,202
Rajasthan,BANSWARA,2013,0,0,0,32,0,0,9,0,0,0,0,0,41
Rajasthan,BARAN,2013,0,1,5,2,0,0,4,0,0,0,0,64,76
Rajasthan,BARMER,2013,0,0,18,12,1,0,9,0,0,0,0,0,40
Rajasthan,BHARATPUR,2013,0,11,34,97,1,0,11,0,0,0,0,0,154
Rajasthan,BHILWARA,2013,0,2,41,40,1,0,11,0,0,0,0,0,95
Rajasthan,BIKANER,2013,0,0,0,0,0,0,2,0,0,0,0,2,4
Rajasthan,BUNDI,2013,0,0,32,45,0,0,1,0,0,0,0,0,78
Rajasthan,CHITTORGARH,2013,0,1,34,10,0,0,1,0,1,0,1,13,61
Rajasthan,CHURU,2013,0,0,28,11,4,0,1,0,0,0,0,0,44
Rajasthan,DAUSA,2013,0,1,12,43,0,0,0,0,0,0,0,0,56
Rajasthan,DHOLPUR,2013,0,4,19,15,0,0,4,0,0,0,0,10,52
Rajasthan,DISCOM,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,DUNGARPUR,2013,0,1,48,57,0,0,0,0,0,0,0,0,106
Rajasthan,G.R.P.AJMER,2013,0,0,0,7,0,0,12,0,0,0,0,0,19
Rajasthan,G.R.P.JODHPUR,2013,0,0,0,0,0,0,1,0,0,0,0,0,1
Rajasthan,GANGANAGAR,2013,0,1,25,42,2,0,7,13,0,0,0,10,100
Rajasthan,HANUMANGARH,2013,0,0,38,28,3,0,0,24,0,0,0,3,96
Rajasthan,JAIPUR EAST,2013,0,1,8,68,0,0,12,0,0,0,1,2,92
Rajasthan,JAIPUR NORTH,2013,1,1,5,28,5,0,4,1,0,0,0,23,68
Rajasthan,JAIPUR RURAL,2013,0,4,28,69,3,0,18,0,0,0,0,5,127
Rajasthan,JAIPUR SOUTH,2013,0,0,15,38,0,1,1,0,0,0,0,11,66
Rajasthan,JAIPUR WEST,2013,0,0,13,116,5,0,1,0,0,0,0,9,144
Rajasthan,JAISALMER,2013,0,0,9,2,0,0,1,0,0,0,0,0,12
Rajasthan,JALORE,2013,0,3,18,19,0,0,4,0,0,0,1,0,45
Rajasthan,JHALAWAR,2013,0,0,37,76,0,0,4,0,0,0,0,0,117
Rajasthan,JHUNJHUNU,2013,1,2,34,29,0,0,5,0,0,0,0,0,71
Rajasthan,JODHPUR EAST,2013,0,1,2,5,0,0,6,0,0,0,0,0,14
Rajasthan,JODHPUR RURAL,2013,1,1,25,26,0,0,0,0,0,0,0,0,53
Rajasthan,JODHPUR WEST,2013,0,1,19,26,0,0,8,0,0,0,0,0,54
Rajasthan,KARAULI,2013,0,0,9,25,1,0,1,0,0,0,0,0,36
Rajasthan,KOTA CITY,2013,0,1,28,0,0,0,13,8,0,0,0,0,50
Rajasthan,KOTA RURAL,2013,0,0,0,0,2,0,1,4,0,0,0,0,7
Rajasthan,NAGAUR,2013,0,1,27,36,1,0,4,0,0,0,0,15,84
Rajasthan,PALI,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,PRATAPGARH,2013,0,1,55,42,0,0,6,0,0,0,0,0,104
Rajasthan,RAJSAMAND,2013,0,1,9,8,0,0,4,0,0,0,0,1,23
Rajasthan,SAWAI MADHOPUR,2013,0,3,12,32,1,0,5,0,0,0,0,0,53
Rajasthan,SIKAR,2013,0,0,26,45,0,0,16,0,0,0,0,0,87
Rajasthan,SIROHI,2013,0,3,18,20,0,0,0,0,0,0,1,2,44
Rajasthan,TONK,2013,0,1,14,25,4,0,6,0,0,0,0,0,50
Rajasthan,UDAIPUR,2013,1,4,52,136,0,0,24,0,0,0,0,7,224
Rajasthan,TOTAL,2013,8,64,892,1426,34,1,226,54,1,0,5,177,2888
Sikkim,EAST,2013,0,0,16,8,0,0,0,0,0,0,0,0,24
Sikkim,NORTH,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,SOUTH,2013,0,0,5,5,0,0,0,0,0,0,0,0,10
Sikkim,WEST,2013,0,0,4,1,0,0,0,0,0,0,0,0,5
Sikkim,TOTAL,2013,0,0,25,14,0,0,0,0,0,0,0,0,39
Tamil Nadu,ARIYALUR,2013,0,3,2,3,0,0,0,0,0,0,1,4,13
Tamil Nadu,CHENNAI,2013,0,12,48,52,0,0,0,0,0,0,0,0,112
Tamil Nadu,CHENNAI RLY.,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,COIMBATORE RURAL,2013,0,2,7,6,0,0,0,0,0,0,0,0,15
Tamil Nadu,COIMBATORE URBAN,2013,0,1,12,2,0,0,0,0,0,0,0,0,15
Tamil Nadu,CUDDALORE,2013,0,0,11,0,0,0,0,0,0,0,0,0,11
Tamil Nadu,DHARMAPURI,2013,1,4,14,89,0,0,0,0,0,0,11,11,130
Tamil Nadu,DINDIGUL,2013,0,4,1,1,0,0,0,0,0,0,0,4,10
Tamil Nadu,ERODE,2013,0,1,9,5,0,0,0,0,0,0,0,0,15
Tamil Nadu,KANCHIPURAM,2013,0,1,0,0,0,0,0,0,0,0,0,0,1
Tamil Nadu,KANYAKUMARI,2013,0,3,5,17,0,0,0,0,0,0,2,8,35
Tamil Nadu,KARUR,2013,0,4,3,0,0,0,0,0,0,0,0,0,7
Tamil Nadu,KRISHNAGIRI,2013,1,5,4,43,0,0,0,0,0,0,2,0,55
Tamil Nadu,MADURAI RURAL,2013,0,0,0,1,0,0,1,0,0,0,14,0,16
Tamil Nadu,MADURAI URBAN,2013,8,1,10,10,0,0,0,0,0,0,0,0,29
