area_name,year,sub_group,cpa_cases_registered,cpa_cases_reported_for_dept_action,cpa_complaints_cases_declared_false_unsubstantiated,cpa_complaints_received_alleged,cpa_no_of_departmental_enquiries,cpa_no_of_magisterial_enquiries,cpa_cases_sent_for_trials_charge_sheeted,cpa_no_of_judicial_enquiries,cpb_police_personnel_acquitted,cpb_police_personnel_convicted,cpb_police_personnel_sent_up_for_trial,cpb_police_personnel_trial_completed,cpb_police_personnel_cases_withdrawn_or_otherwise_disposed_of,cpc_police_personnel_cases_trial_completed,cpc_police_personnel_cases_withdrawn_or_otherwise_disposed_of,cpc_police_personnel_disciplinary_action_initiated,cpc_police_personnel_dismissal_removal_from_service,cpc_police_personnel_major_punishment_awarded,cpc_police_personnel_minor_punishment_awarded
Andhra Pradesh,2007,Complaints Against Police Personnel,200,99,27,327,209,10,121,25,6,1,131,7,22,1,531,2018,45,206,1335
Arunachal Pradesh,2007,Complaints Against Police Personnel,16,0,0,40,38,0,6,0,0,0,6,0,0,0,0,6,0,2,1
Assam,2007,Complaints Against Police Personnel,18,5,0,31,22,2,2,7,1,0,3,1,1,1,0,0,2,0,87
Bihar,2007,Complaints Against Police Personnel,7,0,27,2011,27,0,19,2,0,0,33,0,31,260,150,306,53,506,288
Chandigarh,2007,Complaints Against Police Personnel,3,0,105,172,172,0,0,0,0,0,0,0,4,0,85,84,4,38,28
Chhattisgarh,2007,Complaints Against Police Personnel,6,149,1620,1965,548,2,14,0,8,6,84,14,23,65,48,118,16,21,26
Dadra & Nagar Haveli,2007,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2007,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Delhi,2007,Complaints Against Police Personnel,87,0,288,5786,513,0,0,0,0,0,0,0,0,0,0,1386,91,364,1995
Goa,2007,Complaints Against Police Personnel,11,2,25,35,4,0,3,1,1,0,1,1,0,16,40,69,9,3,26
Gujarat,2007,Complaints Against Police Personnel,226,385,208,686,540,2,196,29,13,5,241,18,11,759,252,1234,47,270,743
Haryana,2007,Complaints Against Police Personnel,19,6,1218,1246,583,0,10,0,0,0,12,0,0,5,0,47,6,18,18
Himachal Pradesh,2007,Complaints Against Police Personnel,6,1,207,217,10,0,0,0,6,5,9,11,10,21,19,79,0,18,31
Jammu & Kashmir,2007,Complaints Against Police Personnel,17,5,104,135,289,4,4,0,0,0,3,0,1,218,329,994,7,720,466
Jharkhand,2007,Complaints Against Police Personnel,0,0,0,4,0,0,0,4,7,0,0,7,0,124,65,446,7,207,194
Karnataka,2007,Complaints Against Police Personnel,86,28,10,154,141,1,59,10,7,0,71,7,6,263,9,792,5,32,646
Kerala,2007,Complaints Against Police Personnel,89,34,2994,3684,2278,2,28,0,4,1,49,5,3,122,210,1080,7,97,253
Lakshadweep,2007,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2007,Complaints Against Police Personnel,4562,95,12328,18526,3216,5,28,4,3,2,40,5,2,63,50,281,10,106,131
Maharashtra,2007,Complaints Against Police Personnel,354,213,2680,3838,1170,0,157,39,24,9,184,33,39,115,7,172,6,18,91
Manipur,2007,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2007,Complaints Against Police Personnel,16,4,0,16,12,0,8,0,0,0,7,0,0,21,54,91,5,67,103
Mizoram,2007,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,4,1
Nagaland,2007,Complaints Against Police Personnel,3,3,0,3,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Odisha,2007,Complaints Against Police Personnel,45,17,1,51,8,14,17,21,1,0,32,1,1,68,48,232,9,145,218
Puducherry,2007,Complaints Against Police Personnel,3,0,0,3,0,0,3,0,0,0,3,0,0,5,12,34,0,0,12
Punjab,2007,Complaints Against Police Personnel,144,54,2195,5750,1173,35,24,0,14,7,61,21,14,342,55,1381,133,556,3528
Rajasthan,2007,Complaints Against Police Personnel,84,71,981,1237,248,6,39,2,4,2,47,6,0,3123,0,4567,84,431,2608
Sikkim,2007,Complaints Against Police Personnel,3,5,0,8,8,0,1,0,0,0,1,0,0,1,1,54,5,2,39
Tamil Nadu,2007,Complaints Against Police Personnel,141,65,10,369,267,16,76,86,4,2,86,6,3,1103,99,1467,39,370,694
Tripura,2007,Complaints Against Police Personnel,23,26,4,62,51,0,10,13,2,2,12,4,28,14,42,96,15,20,237
Uttar Pradesh,2007,Complaints Against Police Personnel,1693,1560,2927,4620,1673,20,96,0,0,0,139,0,0,1669,116,1785,46,353,1270
Uttarakhand,2007,Complaints Against Police Personnel,9,293,447,749,740,0,5,9,0,0,5,0,0,180,84,293,5,30,145
West Bengal,2007,Complaints Against Police Personnel,17,9,6,22,10,0,7,6,0,1,8,1,0,29,23,56,5,40,59
Andaman & Nicobar Islands,2008,Complaints Against Police Personnel,15,0,0,15,0,0,6,15,2,0,6,2,0,1,13,26,0,13,73
Andhra Pradesh,2008,Complaints Against Police Personnel,129,382,20,722,639,1,84,30,11,2,164,13,9,10,811,2839,59,352,1496
Arunachal Pradesh,2008,Complaints Against Police Personnel,0,0,0,137,137,0,0,0,0,0,0,0,0,0,0,137,0,16,28
Assam,2008,Complaints Against Police Personnel,12,6,0,7,0,2,6,3,0,0,7,0,0,0,7,53,1,30,19
Bihar,2008,Complaints Against Police Personnel,27,1,2,36,73,0,5,33,0,0,15,0,1,459,207,816,10,526,351
Chandigarh,2008,Complaints Against Police Personnel,0,3,141,234,3,0,0,0,0,0,0,0,0,0,52,75,3,28,35
Chhattisgarh,2008,Complaints Against Police Personnel,413,50,1000,1516,703,1,246,0,6,9,0,15,0,68,58,143,24,64,160
Dadra & Nagar Haveli,2008,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2008,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2008,Complaints Against Police Personnel,93,0,70,6031,539,0,0,0,0,0,0,0,0,0,0,1185,87,319,919
Goa,2008,Complaints Against Police Personnel,11,1,54,64,2,0,3,1,0,1,1,1,0,36,99,167,5,2,128
Gujarat,2008,Complaints Against Police Personnel,246,373,313,786,572,2,182,18,0,1,312,1,43,636,235,1216,55,131,606
Haryana,2008,Complaints Against Police Personnel,42,17,1105,1140,896,14,21,0,2,0,29,2,0,0,0,80,13,45,10
Himachal Pradesh,2008,Complaints Against Police Personnel,8,3,265,284,57,1,5,0,2,0,5,2,1,20,8,85,2,16,24
Jammu & Kashmir,2008,Complaints Against Police Personnel,40,16,258,417,347,3,58,1,2,0,25,2,12,196,481,1350,219,575,324
Jharkhand,2008,Complaints Against Police Personnel,1,0,0,23,0,0,0,0,0,0,1,0,0,206,51,521,7,112,168
Karnataka,2008,Complaints Against Police Personnel,77,417,13,499,438,12,39,11,6,0,49,6,2,251,37,757,9,18,508
Kerala,2008,Complaints Against Police Personnel,132,53,2571,3096,2854,0,45,0,14,0,52,14,7,377,142,898,9,123,245
Lakshadweep,2008,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2008,Complaints Against Police Personnel,23,60,14306,18315,4038,1,26,3,0,1,23,1,0,89,74,294,18,98,272
Maharashtra,2008,Complaints Against Police Personnel,373,126,3011,3928,633,0,130,0,16,6,159,22,13,61,55,203,25,13,51
Manipur,2008,Complaints Against Police Personnel,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Meghalaya,2008,Complaints Against Police Personnel,6,2,0,6,6,0,2,0,0,0,2,0,0,0,0,0,0,11,31
Mizoram,2008,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2008,Complaints Against Police Personnel,3,4,0,7,6,1,3,0,6,0,7,6,0,10,0,0,1,3,0
Odisha,2008,Complaints Against Police Personnel,41,99,0,64,29,5,0,16,0,0,25,0,0,48,48,264,2,87,201
Puducherry,2008,Complaints Against Police Personnel,5,5,0,5,0,0,0,0,0,0,0,0,0,1,0,107,0,0,2
Punjab,2008,Complaints Against Police Personnel,477,49,2215,3714,1345,8,34,0,16,4,70,20,15,30,326,1401,96,516,3173
Rajasthan,2008,Complaints Against Police Personnel,66,50,867,1263,384,9,31,3,1,5,40,6,0,2877,0,4252,87,290,2500
Sikkim,2008,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,31,0,7,8
Tamil Nadu,2008,Complaints Against Police Personnel,124,72,10,139,67,28,75,44,3,0,75,3,10,1228,24,1510,19,279,930
Tripura,2008,Complaints Against Police Personnel,23,20,1,52,40,1,18,17,3,0,19,3,10,27,27,89,14,33,84
Uttar Pradesh,2008,Complaints Against Police Personnel,3008,2734,3007,6015,2998,10,92,0,2,0,126,2,2,2739,412,3151,95,671,1973
Uttarakhand,2008,Complaints Against Police Personnel,12,23,342,377,377,0,10,0,1,3,21,4,0,343,14,397,14,123,206
West Bengal,2008,Complaints Against Police Personnel,37,29,6,46,31,0,11,9,2,1,12,3,0,29,23,76,5,40,127
Andaman & Nicobar Islands,2009,Complaints Against Police Personnel,15,0,0,15,0,0,11,15,0,0,11,0,0,0,11,33,1,5,34
Andhra Pradesh,2009,Complaints Against Police Personnel,128,395,21,789,706,3,90,28,13,2,171,15,8,11,901,2946,62,304,1389
Arunachal Pradesh,2009,Complaints Against Police Personnel,0,0,0,97,97,0,0,0,0,0,0,0,0,0,0,97,0,4,19
Assam,2009,Complaints Against Police Personnel,9,3,2,54,52,0,4,11,1,0,9,1,0,0,0,46,2,16,36
Bihar,2009,Complaints Against Police Personnel,38,6,0,40,79,0,2,32,0,0,8,0,2,351,190,673,9,420,261
Chandigarh,2009,Complaints Against Police Personnel,0,0,12,12,12,0,0,0,0,0,0,0,0,0,73,46,3,36,77
Chhattisgarh,2009,Complaints Against Police Personnel,68,2,1598,1828,1261,0,17,0,1,13,5,14,14,233,83,272,21,62,153
Dadra & Nagar Haveli,2009,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2009,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2009,Complaints Against Police Personnel,69,89,364,6155,416,0,0,0,0,0,0,0,0,1461,0,1461,58,260,1143
Goa,2009,Complaints Against Police Personnel,9,1,12,31,2,0,3,0,1,0,5,1,3,38,96,139,0,1,72
Gujarat,2009,Complaints Against Police Personnel,352,393,282,1137,606,47,234,32,7,7,260,14,11,549,226,1126,40,164,722
Haryana,2009,Complaints Against Police Personnel,167,6,1045,1098,646,15,7,0,2,0,7,2,1,0,0,5,4,1,3
Himachal Pradesh,2009,Complaints Against Police Personnel,10,0,294,313,16,0,4,0,1,0,15,1,1,33,36,102,1,34,48
Jammu & Kashmir,2009,Complaints Against Police Personnel,39,31,96,479,497,1,23,0,4,0,35,4,16,640,391,1408,8,496,566
Jharkhand,2009,Complaints Against Police Personnel,1060,0,65,1065,840,0,519,217,0,0,0,0,0,107,66,1224,7,349,125
Karnataka,2009,Complaints Against Police Personnel,76,384,35,801,781,8,36,28,3,1,48,4,4,709,19,1100,6,25,773
Kerala,2009,Complaints Against Police Personnel,81,33,3010,3491,2846,1,22,1,13,0,55,13,16,248,143,1040,10,98,140
Lakshadweep,2009,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2009,Complaints Against Police Personnel,4014,80,11261,15903,4223,410,22,0,0,0,14,0,5,105,448,579,10,72,160
Maharashtra,2009,Complaints Against Police Personnel,323,165,2909,3982,908,34,174,36,29,0,204,29,8,91,6,242,15,17,59
Manipur,2009,Complaints Against Police Personnel,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Meghalaya,2009,Complaints Against Police Personnel,3,0,0,3,0,3,1,0,0,0,1,0,0,0,0,0,0,13,21
Mizoram,2009,Complaints Against Police Personnel,12,3,0,12,9,3,10,0,0,1,10,1,0,0,0,4,2,0,0
Nagaland,2009,Complaints Against Police Personnel,6,2,0,9,11,0,2,0,1,0,5,1,0,3,2,5,0,1,0
Odisha,2009,Complaints Against Police Personnel,192,27,7,220,146,45,153,21,0,0,20,0,10,49,44,194,4,52,154
Puducherry,2009,Complaints Against Police Personnel,2,0,0,2,0,0,2,0,0,0,2,0,0,0,3,17,0,0,0
Punjab,2009,Complaints Against Police Personnel,69,43,2788,4212,1094,1,21,0,19,10,57,29,20,197,201,1315,55,467,2025
Rajasthan,2009,Complaints Against Police Personnel,161,43,923,1162,239,0,51,0,1,0,51,1,0,2503,586,4271,73,187,2243
Sikkim,2009,Complaints Against Police Personnel,23,23,0,23,23,0,0,0,0,0,0,0,0,13,0,23,1,0,12
Tamil Nadu,2009,Complaints Against Police Personnel,111,53,12,141,63,25,69,49,3,1,64,4,2,520,342,1694,36,499,660
Tripura,2009,Complaints Against Police Personnel,5,13,2,17,14,0,3,6,0,4,13,4,9,20,24,93,16,7,117
Uttar Pradesh,2009,Complaints Against Police Personnel,7912,7734,3041,10953,7896,15,122,1,0,4,188,4,2,7274,727,8001,170,492,6612
Uttarakhand,2009,Complaints Against Police Personnel,14,203,341,558,558,0,11,0,0,0,17,0,0,140,63,203,29,42,69
West Bengal,2009,Complaints Against Police Personnel,6,27,0,270,260,0,4,4,0,0,4,0,0,61,6,459,4,103,392
Andaman & Nicobar Islands,2010,Complaints Against Police Personnel,24,0,0,24,0,0,22,24,1,0,22,1,0,0,2,16,4,12,68
Andhra Pradesh,2010,Complaints Against Police Personnel,112,65,5,2321,320,0,52,21,14,0,69,14,3,40,230,950,1,37,351
Arunachal Pradesh,2010,Complaints Against Police Personnel,0,0,0,177,177,0,0,0,0,0,0,0,0,0,0,176,0,13,54
Assam,2010,Complaints Against Police Personnel,9,0,1,19,7,1,2,3,0,0,2,0,2,0,0,0,0,7,5
Bihar,2010,Complaints Against Police Personnel,37,2,1,35,2,0,2,32,0,0,31,0,2,248,227,643,5,293,157
Chandigarh,2010,Complaints Against Police Personnel,0,0,124,357,0,0,0,0,0,0,0,0,0,0,37,54,1,16,37
Chhattisgarh,2010,Complaints Against Police Personnel,29,98,1272,1863,1104,0,30,8,2,17,11,19,1,207,57,362,23,37,148
Dadra & Nagar Haveli,2010,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2010,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2010,Complaints Against Police Personnel,58,40,241,6614,294,0,14,0,0,0,14,0,0,1250,0,1303,35,218,997
Goa,2010,Complaints Against Police Personnel,8,1,7,15,1,0,3,0,3,1,3,4,2,41,165,257,0,1,121
Gujarat,2010,Complaints Against Police Personnel,274,271,375,958,558,41,202,24,15,5,219,20,9,690,191,1937,34,166,808
Haryana,2010,Complaints Against Police Personnel,40,23,814,788,322,0,16,0,0,0,35,0,0,0,0,8,0,0,0
Himachal Pradesh,2010,Complaints Against Police Personnel,17,0,300,334,21,2,5,0,0,0,7,0,1,32,20,98,0,22,23
Jammu & Kashmir,2010,Complaints Against Police Personnel,79,35,116,526,435,1,35,0,7,1,40,8,4,797,877,1447,17,559,516
Jharkhand,2010,Complaints Against Police Personnel,8,0,5,2043,24,0,6,6,0,1,1,1,0,253,112,932,90,353,327
Karnataka,2010,Complaints Against Police Personnel,81,177,9,485,450,31,51,13,2,1,62,3,3,386,82,633,8,22,449
Kerala,2010,Complaints Against Police Personnel,118,108,3337,4294,2684,0,37,3,11,5,45,16,12,395,141,1223,13,128,359
Lakshadweep,2010,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2010,Complaints Against Police Personnel,30,73,12792,13620,3545,158,23,0,1,1,20,2,9,83,188,805,25,80,177
Maharashtra,2010,Complaints Against Police Personnel,413,90,3713,4906,370,19,159,58,23,2,160,25,3,184,4,275,36,21,127
Manipur,2010,Complaints Against Police Personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2010,Complaints Against Police Personnel,5,0,0,2,2,0,1,0,0,0,1,0,1,0,0,4,3,51,23
Mizoram,2010,Complaints Against Police Personnel,2,2,0,3,3,0,2,0,1,0,2,1,0,1,0,1,0,1,1
Nagaland,2010,Complaints Against Police Personnel,7,0,0,8,2,0,6,4,0,1,7,1,0,1,0,2,0,0,1
Odisha,2010,Complaints Against Police Personnel,30,7,0,30,30,0,2,0,0,0,7,0,0,3,0,16,0,2,1
Puducherry,2010,Complaints Against Police Personnel,4,0,0,4,0,0,2,0,0,0,2,0,0,0,1,17,0,7,15
Punjab,2010,Complaints Against Police Personnel,36,25,2240,3858,1324,3,10,0,45,16,67,61,53,837,600,1912,77,665,1888
Rajasthan,2010,Complaints Against Police Personnel,193,124,1729,1894,164,0,26,1,1,2,72,3,27,2383,1291,3700,69,228,2086
Sikkim,2010,Complaints Against Police Personnel,0,26,0,26,26,0,0,0,0,0,0,0,0,20,6,20,0,4,16
Tamil Nadu,2010,Complaints Against Police Personnel,107,67,15,366,282,62,80,45,18,0,81,18,6,550,295,1620,32,457,642
Tripura,2010,Complaints Against Police Personnel,28,7,5,34,9,0,16,21,1,0,20,1,2,9,37,90,13,17,18
Uttar Pradesh,2010,Complaints Against Police Personnel,8701,8326,3418,12119,8693,8,45,0,7,0,95,7,1,8158,492,8650,171,1025,6962
Uttarakhand,2010,Complaints Against Police Personnel,15,71,596,682,682,0,7,0,0,0,7,0,0,276,59,358,9,20,247
West Bengal,2010,Complaints Against Police Personnel,5,27,0,33,32,0,5,5,0,0,5,0,0,32,11,214,0,99,382
