state_ut,crime_head,male_below_18_years,female_below_18_years,male_between_18_30_years,female_between_18_30_years,male_between_30_45_years,female_between_30_45_years,male_between_45_60_years,female_between_45_60_years,male_above_60_years,female_above_60_years,male_total,female_total,grand_total
MAHARASHTRA,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",310,2,5494,82,1711,53,331,20,35,3,7881,160,8041
MANIPUR,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",10,0,40,2,29,0,0,0,0,0,79,2,81
MIZORAM,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",0,0,2,0,2,0,1,0,0,0,5,0,5
NAGALAND,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",0,0,40,1,20,0,2,0,1,0,63,1,64
ODISHA,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",37,0,1452,8,759,3,170,2,13,0,2431,13,2444
PUNJAB,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",2,0,251,6,171,1,36,0,0,0,460,7,467
RAJASTHAN,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",65,0,756,13,296,3,57,0,0,0,1174,16,1190
SIKKIM,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",0,0,7,0,2,0,0,0,0,0,9,0,9
TAMIL NADU,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",33,0,1355,18,760,5,205,1,3,0,2356,24,2380
TRIPURA,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",0,0,30,1,27,1,6,0,0,1,63,3,66
UTTAR PRADESH,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",29,7,3823,10,1895,4,427,0,0,0,6174,21,6195
UTTARAKHAND,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",2,0,107,3,113,7,3,0,0,0,225,10,235
WEST BENGAL,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",2,0,606,0,457,0,53,0,0,0,1118,0,1118
TOTAL (STATES),"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",837,9,22347,229,10807,124,2423,36,110,5,36524,403,36927
A & N ISLANDS,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",0,0,1,0,3,0,0,0,0,0,4,0,4
CHANDIGARH,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",20,0,65,2,25,2,6,0,0,0,116,4,120
D & N HAVELI,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",0,0,4,0,0,0,0,0,0,0,4,0,4
DELHI,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",109,0,941,4,275,1,12,0,10,0,1347,5,1352
LAKSHADWEEP,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",2,0,30,0,9,1,1,0,0,0,42,1,43
TOTAL (UTs),"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",131,0,1041,6,312,4,19,0,10,0,1513,10,1523
TOTAL (ALL-INDIA),"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",968,9,23388,235,11119,128,2442,36,120,5,38037,413,38450
ANDHRA PRADESH,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",289,5,3578,66,2169,45,599,18,32,1,6667,135,6802
ARUNACHAL PRADESH,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",12,0,132,0,20,0,0,0,0,0,164,0,164
ASSAM,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",140,1,1230,5,1410,1,466,0,28,0,3274,7,3281
BIHAR,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",93,0,1238,0,1197,1,371,0,30,0,2929,1,2930
CHHATTISGARH,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",312,2,1081,10,571,14,150,1,29,0,2143,27,2170
GOA,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",27,1,137,15,66,1,5,0,0,0,235,17,252
GUJARAT,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",210,5,1964,27,966,24,258,4,13,2,3411,62,3473
HARYANA,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",132,0,1645,14,690,9,186,0,2,1,2655,24,2679
HIMACHAL PRADESH,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",39,1,260,5,125,10,30,3,4,0,458,19,477
JAMMU & KASHMIR,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",8,0,294,11,392,5,94,2,5,0,793,18,811
JHARKHAND,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",16,0,263,7,141,5,39,1,0,0,459,13,472
KARNATAKA,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",47,0,1306,36,937,29,230,6,21,0,2541,71,2612
KERALA,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",73,0,735,12,674,13,237,5,22,0,1741,30,1771
MADHYA PRADESH,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",383,2,3313,29,1936,26,569,8,48,1,6249,66,6315
MAHARASHTRA,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",715,12,7841,228,3050,219,1016,86,113,21,12735,566,13301
MANIPUR,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",1,0,3,0,3,0,3,0,0,0,10,0,10
MEGHALAYA,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",9,0,51,0,18,0,3,0,0,0,81,0,81
MIZORAM,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",28,1,176,0,58,0,18,2,2,0,282,3,285
NAGALAND,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",1,0,32,0,6,0,1,0,0,0,40,0,40
ODISHA,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",122,3,1466,12,926,13,279,0,23,0,2816,28,2844
PUNJAB,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",41,0,1005,16,878,23,295,6,1,0,2220,45,2265
RAJASTHAN,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",252,1,1797,26,815,28,256,5,11,0,3131,60,3191
SIKKIM,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",8,0,0,0,22,0,20,0,0,0,50,0,50
TAMIL NADU,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",204,0,1848,6,1234,8,466,3,39,0,3791,17,3808
TRIPURA,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",6,0,109,0,52,0,7,0,0,0,174,0,174
UTTAR PRADESH,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",69,0,2840,0,1565,0,437,0,7,0,4918,0,4918
UTTARAKHAND,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",12,0,169,0,214,1,10,0,0,0,405,1,406
WEST BENGAL,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",7,0,410,1,321,0,27,0,0,0,765,1,766
TOTAL (STATES),"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",3256,34,34923,526,20456,475,6072,150,430,26,65137,1211,66348
A & N ISLANDS,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",4,0,26,0,7,0,3,0,0,0,40,0,40
CHANDIGARH,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",20,0,75,2,64,0,10,0,0,0,169,2,171
D & N HAVELI,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",4,0,18,0,3,0,0,0,0,0,25,0,25
DAMAN & DIU,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",6,0,35,2,8,0,0,0,0,0,49,2,51
DELHI,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",192,2,970,12,349,15,14,1,4,0,1529,30,1559
LAKSHADWEEP,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",0,0,2,0,1,0,0,0,0,0,3,0,3
PUDUCHERRY,"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",2,0,39,0,22,0,5,0,0,0,68,0,68
TOTAL (UTs),"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",228,2,1165,16,454,15,32,1,4,0,1883,34,1917
TOTAL (ALL-INDIA),"BURGLARY (SECTION 449 TO 452, 454, 455, 457 TO 460 IPC)",3484,36,36088,542,20910,490,6104,151,434,26,67020,1245,68265
ANDHRA PRADESH,THEFT (SECTION 379 TO 382 IPC),813,15,12193,515,6304,394,1671,89,106,6,21087,1019,22106
ARUNACHAL PRADESH,THEFT (SECTION 379 TO 382 IPC),13,0,241,4,65,2,8,0,0,0,327,6,333
ASSAM,THEFT (SECTION 379 TO 382 IPC),240,3,3156,80,4226,53,1200,4,111,0,8933,140,9073
BIHAR,THEFT (SECTION 379 TO 382 IPC),533,25,5141,115,3196,63,1378,14,34,0,10282,217,10499
CHHATTISGARH,THEFT (SECTION 379 TO 382 IPC),252,4,1912,21,990,21,277,11,43,1,3474,58,3532
GOA,THEFT (SECTION 379 TO 382 IPC),32,1,271,9,75,6,27,0,3,1,408,17,425
GUJARAT,THEFT (SECTION 379 TO 382 IPC),435,16,5033,87,2281,69,590,23,43,2,8382,197,8579
HARYANA,THEFT (SECTION 379 TO 382 IPC),178,7,3693,52,1615,68,470,18,18,5,5974,150,6124
HIMACHAL PRADESH,THEFT (SECTION 379 TO 382 IPC),16,2,439,5,216,11,50,1,6,1,727,20,747
JAMMU & KASHMIR,THEFT (SECTION 379 TO 382 IPC),8,0,912,24,1603,19,352,10,14,0,2889,53,2942
JHARKHAND,THEFT (SECTION 379 TO 382 IPC),94,9,1975,57,1028,38,277,10,0,0,3374,114,3488
KARNATAKA,THEFT (SECTION 379 TO 382 IPC),118,1,3445,85,2223,97,513,23,57,3,6356,209,6565
KERALA,THEFT (SECTION 379 TO 382 IPC),174,5,1324,113,1110,117,408,21,53,1,3069,257,3326
MADHYA PRADESH,THEFT (SECTION 379 TO 382 IPC),497,13,6780,134,3466,110,989,23,83,0,11815,280,12095
MAHARASHTRA,THEFT (SECTION 379 TO 382 IPC),1453,38,16519,611,7598,508,2061,132,155,16,27786,1305,29091
MANIPUR,THEFT (SECTION 379 TO 382 IPC),0,0,141,1,83,1,11,3,2,1,237,6,243
MEGHALAYA,THEFT (SECTION 379 TO 382 IPC),18,0,201,1,89,0,3,0,0,0,311,1,312
MIZORAM,THEFT (SECTION 379 TO 382 IPC),28,10,363,21,128,5,56,7,1,0,576,43,619
NAGALAND,THEFT (SECTION 379 TO 382 IPC),21,0,173,4,66,2,2,0,0,0,262,6,268
ODISHA,THEFT (SECTION 379 TO 382 IPC),216,3,4274,30,2583,57,1010,10,103,1,8186,101,8287
PUNJAB,THEFT (SECTION 379 TO 382 IPC),65,0,2115,75,1654,120,622,34,3,1,4459,230,4689
RAJASTHAN,THEFT (SECTION 379 TO 382 IPC),415,10,4544,108,2209,91,519,24,22,2,7709,235,7944
SIKKIM,THEFT (SECTION 379 TO 382 IPC),11,0,68,0,8,0,0,0,0,0,87,0,87
TAMIL NADU,THEFT (SECTION 379 TO 382 IPC),428,4,5940,229,3087,236,1031,106,56,6,10542,581,11123
TRIPURA,THEFT (SECTION 379 TO 382 IPC),13,0,284,2,179,3,56,1,10,0,542,6,548
UTTAR PRADESH,THEFT (SECTION 379 TO 382 IPC),242,11,11008,47,5656,33,1262,4,28,0,18196,95,18291
UTTARAKHAND,THEFT (SECTION 379 TO 382 IPC),64,8,651,5,508,14,56,2,9,2,1288,31,1319
WEST BENGAL,THEFT (SECTION 379 TO 382 IPC),129,6,6859,542,5422,685,1438,155,93,2,13941,1390,15331
TOTAL (STATES),THEFT (SECTION 379 TO 382 IPC),6506,191,99655,2977,57668,2823,16337,725,1053,51,181219,6767,187986
A & N ISLANDS,THEFT (SECTION 379 TO 382 IPC),1,0,20,0,9,1,5,0,0,0,35,1,36
CHANDIGARH,THEFT (SECTION 379 TO 382 IPC),37,3,558,6,372,7,8,1,0,0,975,17,992
D & N HAVELI,THEFT (SECTION 379 TO 382 IPC),3,0,72,0,28,0,2,0,0,0,105,0,105
DAMAN & DIU,THEFT (SECTION 379 TO 382 IPC),2,0,39,0,8,0,4,0,0,0,53,0,53
DELHI,THEFT (SECTION 379 TO 382 IPC),436,13,5393,80,1882,47,247,11,9,1,7967,152,8119
LAKSHADWEEP,THEFT (SECTION 379 TO 382 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,THEFT (SECTION 379 TO 382 IPC),13,0,165,6,65,4,9,2,0,0,252,12,264
TOTAL (UTs),THEFT (SECTION 379 TO 382 IPC),492,16,6247,92,2364,59,275,14,9,1,9387,182,9569
TOTAL (ALL-INDIA),THEFT (SECTION 379 TO 382 IPC),6998,207,105902,3069,60032,2882,16612,739,1062,52,190606,6949,197555
ANDHRA PRADESH,AUTO THEFT,249,3,3037,36,1388,32,199,10,10,0,4883,81,4964
ARUNACHAL PRADESH,AUTO THEFT,4,0,81,0,0,0,0,0,0,0,85,0,85
ASSAM,AUTO THEFT,7,0,459,1,707,3,161,0,0,0,1334,4,1338
BIHAR,AUTO THEFT,174,0,1726,0,855,0,314,0,0,0,3069,0,3069
CHHATTISGARH,AUTO THEFT,42,0,634,0,272,0,95,0,0,0,1043,0,1043
GOA,AUTO THEFT,19,0,57,0,18,0,1,0,0,0,95,0,95
GUJARAT,AUTO THEFT,174,1,2120,9,662,0,145,0,2,0,3103,10,3113
HARYANA,AUTO THEFT,110,0,2100,0,956,2,234,0,1,0,3401,2,3403
HIMACHAL PRADESH,AUTO THEFT,1,0,111,0,53,0,8,0,1,1,174,1,175
JAMMU & KASHMIR,AUTO THEFT,3,0,115,0,111,0,30,1,0,0,259,1,260
JHARKHAND,AUTO THEFT,18,1,602,2,156,1,89,0,0,0,865,4,869
KARNATAKA,AUTO THEFT,49,0,1431,1,792,3,144,1,8,0,2424,5,2429
KERALA,AUTO THEFT,100,0,417,3,249,1,65,0,5,0,836,4,840
MADHYA PRADESH,AUTO THEFT,140,0,2605,4,937,3,223,0,14,0,3919,7,3926
MAHARASHTRA,AUTO THEFT,492,2,4254,13,1346,4,296,4,17,0,6405,23,6428
MANIPUR,AUTO THEFT,0,0,100,1,47,0,3,3,0,0,150,4,154
MEGHALAYA,AUTO THEFT,0,0,37,0,19,0,0,0,0,0,56,0,56
MIZORAM,AUTO THEFT,0,0,18,0,5,0,0,0,0,0,23,0,23
NAGALAND,AUTO THEFT,0,0,28,0,10,0,0,0,0,0,38,0,38
ODISHA,AUTO THEFT,5,0,1006,0,564,3,208,0,24,0,1807,3,1810
PUNJAB,AUTO THEFT,18,0,780,18,528,5,126,2,0,0,1452,25,1477
RAJASTHAN,AUTO THEFT,168,0,2014,1,663,5,111,1,1,0,2957,7,2964
SIKKIM,AUTO THEFT,9,0,8,0,0,0,0,0,0,0,17,0,17
TAMIL NADU,AUTO THEFT,62,0,1324,2,905,0,264,0,5,0,2560,2,2562
TRIPURA,AUTO THEFT,0,0,72,0,33,0,7,0,0,0,112,0,112
UTTAR PRADESH,AUTO THEFT,24,0,3735,0,1512,0,123,0,1,0,5395,0,5395
UTTARAKHAND,AUTO THEFT,14,0,214,0,183,0,13,0,0,0,424,0,424
WEST BENGAL,AUTO THEFT,10,0,1009,0,1343,2,128,0,6,0,2496,2,2498
TOTAL (STATES),AUTO THEFT,1892,7,30094,91,14314,64,2987,22,95,1,49382,185,49567
A & N ISLANDS,AUTO THEFT,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,AUTO THEFT,9,0,245,0,65,0,6,0,0,0,325,0,325
D & N HAVELI,AUTO THEFT,1,0,31,0,2,0,0,0,0,0,34,0,34
DAMAN & DIU,AUTO THEFT,1,0,22,0,2,0,1,0,0,0,26,0,26
DELHI,AUTO THEFT,156,0,2763,0,823,0,93,0,2,0,3837,0,3837
LAKSHADWEEP,AUTO THEFT,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,AUTO THEFT,2,0,63,0,17,0,6,0,0,0,88,0,88
TOTAL (UTs),AUTO THEFT,169,0,3124,0,909,0,106,0,2,0,4310,0,4310
TOTAL (ALL-INDIA),AUTO THEFT,2061,7,33218,91,15223,64,3093,22,97,1,53692,185,53877
ANDHRA PRADESH,OTHER THEFT,564,12,9156,479,4916,362,1472,79,96,6,16204,938,17142
ARUNACHAL PRADESH,OTHER THEFT,9,0,160,4,65,2,8,0,0,0,242,6,248
ASSAM,OTHER THEFT,233,3,2697,79,3519,50,1039,4,111,0,7599,136,7735
BIHAR,OTHER THEFT,359,25,3415,115,2341,63,1064,14,34,0,7213,217,7430
CHHATTISGARH,OTHER THEFT,210,4,1278,21,718,21,182,11,43,1,2431,58,2489
GOA,OTHER THEFT,13,1,214,9,57,6,26,0,3,1,313,17,330
GUJARAT,OTHER THEFT,261,15,2913,78,1619,69,445,23,41,2,5279,187,5466
HARYANA,OTHER THEFT,68,7,1593,52,659,66,236,18,17,5,2573,148,2721
HIMACHAL PRADESH,OTHER THEFT,15,2,328,5,163,11,42,1,5,0,553,19,572
JAMMU & KASHMIR,OTHER THEFT,5,0,797,24,1492,19,322,9,14,0,2630,52,2682
JHARKHAND,OTHER THEFT,76,8,1373,55,872,37,188,10,0,0,2509,110,2619
KARNATAKA,OTHER THEFT,69,1,2014,84,1431,94,369,22,49,3,3932,204,4136
KERALA,OTHER THEFT,74,5,907,110,861,116,343,21,48,1,2233,253,2486
MADHYA PRADESH,OTHER THEFT,357,13,4175,130,2529,107,766,23,69,0,7896,273,8169
MAHARASHTRA,OTHER THEFT,961,36,12265,598,6252,504,1765,128,138,16,21381,1282,22663
MANIPUR,OTHER THEFT,0,0,41,0,36,1,8,0,2,1,87,2,89
MEGHALAYA,OTHER THEFT,18,0,164,1,70,0,3,0,0,0,255,1,256
MIZORAM,OTHER THEFT,28,10,345,21,123,5,56,7,1,0,553,43,596
NAGALAND,OTHER THEFT,21,0,145,4,56,2,2,0,0,0,224,6,230
ODISHA,OTHER THEFT,211,3,3268,30,2019,54,802,10,79,1,6379,98,6477
PUNJAB,OTHER THEFT,47,0,1335,57,1126,115,496,32,3,1,3007,205,3212
RAJASTHAN,OTHER THEFT,247,10,2530,107,1546,86,408,23,21,2,4752,228,4980
SIKKIM,OTHER THEFT,2,0,60,0,8,0,0,0,0,0,70,0,70
TAMIL NADU,OTHER THEFT,366,4,4616,227,2182,236,767,106,51,6,7982,579,8561
TRIPURA,OTHER THEFT,13,0,212,2,146,3,49,1,10,0,430,6,436
UTTAR PRADESH,OTHER THEFT,218,11,7273,47,4144,33,1139,4,27,0,12801,95,12896
UTTARAKHAND,OTHER THEFT,50,8,437,5,325,14,43,2,9,2,864,31,895
WEST BENGAL,OTHER THEFT,119,6,5850,542,4079,683,1310,155,87,2,11445,1388,12833
TOTAL (STATES),OTHER THEFT,4614,184,69561,2886,43354,2759,13350,703,958,50,131837,6582,138419
A & N ISLANDS,OTHER THEFT,1,0,20,0,9,1,5,0,0,0,35,1,36
CHANDIGARH,OTHER THEFT,28,3,313,6,307,7,2,1,0,0,650,17,667
D & N HAVELI,OTHER THEFT,2,0,41,0,26,0,2,0,0,0,71,0,71
DAMAN & DIU,OTHER THEFT,1,0,17,0,6,0,3,0,0,0,27,0,27
DELHI,OTHER THEFT,280,13,2630,80,1059,47,154,11,7,1,4130,152,4282
LAKSHADWEEP,OTHER THEFT,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,OTHER THEFT,11,0,102,6,48,4,3,2,0,0,164,12,176
TOTAL (UTs),OTHER THEFT,323,16,3123,92,1455,59,169,14,7,1,5077,182,5259
TOTAL (ALL-INDIA),OTHER THEFT,4937,200,72684,2978,44809,2818,13519,717,965,51,136914,6764,143678
ANDHRA PRADESH,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",48,1,3901,366,3437,336,1124,71,146,11,8656,785,9441
ARUNACHAL PRADESH,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",0,0,66,0,0,0,0,0,0,0,66,0,66
ASSAM,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",72,12,4470,61,5265,68,1360,20,98,0,11265,161,11426
BIHAR,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",487,39,20596,1451,13472,1158,7072,726,613,33,42240,3407,45647
CHHATTISGARH,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",99,9,2357,107,1990,143,785,51,164,15,5395,325,5720
GOA,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",5,0,208,4,167,13,47,9,9,0,436,26,462
GUJARAT,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",131,11,5866,259,4398,321,1670,136,231,17,12296,744,13040
HARYANA,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",80,3,2398,93,1967,98,786,30,94,2,5325,226,5551
HIMACHAL PRADESH,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",26,3,806,108,800,177,286,91,71,20,1989,399,2388
JAMMU & KASHMIR,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",16,1,2571,273,3190,340,951,92,23,4,6751,710,7461
JHARKHAND,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",34,1,3501,270,2772,241,1019,62,141,5,7467,579,8046
KARNATAKA,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",33,2,8242,855,10775,1314,5606,725,882,143,25538,3039,28577
KERALA,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",291,1,19271,479,17082,686,6934,256,1106,20,44684,1442,46126
MADHYA PRADESH,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",179,3,5825,172,4427,178,2171,56,266,13,12868,422,13290
MAHARASHTRA,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",691,51,23744,1871,18113,2378,7453,1184,1455,278,51456,5762,57218
MANIPUR,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",0,0,5,0,6,2,3,5,0,0,14,7,21
MEGHALAYA,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",0,0,21,0,6,0,3,0,0,0,30,0,30
ODISHA,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",55,0,5086,200,4589,321,1837,97,150,1,11717,619,12336
PUNJAB,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",0,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",23,2,1174,159,997,152,383,52,79,9,2656,374,3030
SIKKIM,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",12,8,27,0,40,0,8,0,0,0,87,8,95
TAMIL NADU,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",62,1,7413,464,5112,558,2681,257,166,11,15434,1291,16725
TRIPURA,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",0,0,152,4,106,4,25,4,2,0,285,12,297
UTTAR PRADESH,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",24,0,22703,261,13050,308,6252,151,769,8,42798,728,43526
UTTARAKHAND,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",9,0,359,38,693,48,226,14,50,3,1337,103,1440
WEST BENGAL,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",22,1,6678,162,5512,185,1717,70,100,1,14029,419,14448
TOTAL (STATES),"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",2399,149,147440,7657,117966,9029,50399,4159,6615,594,324819,21588,346407
A & N ISLANDS,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",1,0,38,0,9,1,3,0,0,0,51,1,52
CHANDIGARH,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",3,0,96,9,76,5,9,0,2,0,186,14,200
D & N HAVELI,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",0,0,45,1,27,2,5,1,4,0,81,4,85
DAMAN & DIU,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",1,0,55,4,21,0,9,5,0,0,86,9,95
DELHI,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",2,0,243,2,121,4,14,0,2,0,382,6,388
LAKSHADWEEP,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",3,0,489,20,304,62,105,13,9,0,910,95,1005
TOTAL (UTs),"RIOTS (SECTION 143, 144, 145, 147, 148, 149, 150, 151, 153, 153A, 153B, 157, 158, 160 IPC)",10,0,966,36,558,74,145,19,17,0,1696,129,1825
