state_ut,crime_head,male_below_18_years,female_below_18_years,male_between_18_30_years,female_between_18_30_years,male_between_30_45_years,female_between_30_45_years,male_between_45_60_years,female_between_45_60_years,male_above_60_years,female_above_60_years,male_total,female_total,grand_total
Total (State),Assault on Women wih intent to outrage her Modesty,1454,16,44350,914,25946,1035,7730,480,882,68,80362,2513,82875
A&N Islands,Assault on Women wih intent to outrage her Modesty,1,0,26,0,13,0,5,0,3,0,48,0,48
Chandigarh,Assault on Women wih intent to outrage her Modesty,2,0,87,1,64,0,12,0,0,0,165,1,166
D&N Haveli,Assault on Women wih intent to outrage her Modesty,0,0,1,0,0,0,0,0,0,0,1,0,1
Daman & Diu,Assault on Women wih intent to outrage her Modesty,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Assault on Women wih intent to outrage her Modesty,151,0,2732,32,918,50,204,15,25,2,4030,99,4129
Lakshadweep,Assault on Women wih intent to outrage her Modesty,0,0,1,0,0,0,0,0,0,0,1,0,1
Puducherry,Assault on Women wih intent to outrage her Modesty,0,0,8,0,1,0,0,0,0,0,9,0,9
Total (UTs),Assault on Women wih intent to outrage her Modesty,154,0,2855,33,996,50,221,15,28,2,4254,100,4354
Total (All-India),Assault on Women wih intent to outrage her Modesty,1608,16,47205,947,26942,1085,7951,495,910,70,84616,2613,87229
Andhra Pradesh,Attempt to Commit Murder,42,1,1419,81,1559,72,560,40,62,2,3642,196,3838
Arunachal Pradesh,Attempt to Commit Murder,0,0,19,0,21,0,4,0,0,0,44,0,44
Assam,Attempt to Commit Murder,4,0,243,1,391,1,47,0,0,0,685,2,687
Bihar,Attempt to Commit Murder,85,0,3487,106,2424,149,1632,68,402,3,8030,326,8356
Chhattisgarh,Attempt to Commit Murder,35,1,488,24,410,19,163,15,18,5,1114,64,1178
Goa,Attempt to Commit Murder,0,0,49,0,55,1,27,0,2,0,133,1,134
Gujarat,Attempt to Commit Murder,31,1,997,28,803,45,325,18,22,1,2178,93,2271
Haryana,Attempt to Commit Murder,36,0,754,21,671,20,317,5,52,0,1830,46,1876
Himachal Pradesh,Attempt to Commit Murder,0,0,84,4,47,1,20,0,3,0,154,5,159
Jammu & Kashmir,Attempt to Commit Murder,7,0,358,38,520,41,153,11,12,2,1050,92,1142
Jharkhand,Attempt to Commit Murder,16,0,652,21,428,23,174,11,5,0,1275,55,1330
Karnataka,Attempt to Commit Murder,27,0,1901,92,1875,198,783,99,208,18,4794,407,5201
Kerala,Attempt to Commit Murder,17,0,674,2,647,5,259,6,13,4,1610,17,1627
Madhya Pradesh,Attempt to Commit Murder,198,3,2834,84,2183,86,915,36,175,13,6305,222,6527
Maharashtra,Attempt to Commit Murder,173,5,3915,174,2420,241,911,121,142,17,7561,558,8119
Manipur,Attempt to Commit Murder,0,0,31,2,32,0,6,0,1,0,70,2,72
Meghalaya,Attempt to Commit Murder,5,0,80,5,41,2,4,0,0,0,130,7,137
Mizoram,Attempt to Commit Murder,0,0,7,0,11,0,1,0,0,0,19,0,19
Nagaland,Attempt to Commit Murder,0,0,31,0,20,0,2,0,0,0,53,0,53
Odisha,Attempt to Commit Murder,32,1,1210,80,1322,110,633,36,59,2,3256,229,3485
Punjab,Attempt to Commit Murder,10,4,775,51,859,61,466,33,17,0,2127,149,2276
Rajasthan,Attempt to Commit Murder,85,2,1565,72,1219,59,546,24,54,5,3469,162,3631
Sikkim,Attempt to Commit Murder,0,0,6,1,2,0,1,0,0,0,9,1,10
Tamil Nadu,Attempt to Commit Murder,61,1,2723,95,2841,183,1048,58,78,5,6751,342,7093
Tripura,Attempt to Commit Murder,0,0,41,1,28,3,16,1,0,0,85,5,90
Uttar Pradesh,Attempt to Commit Murder,39,1,7633,41,4394,49,1949,11,44,1,14059,103,14162
Uttarakhand,Attempt to Commit Murder,9,0,119,1,102,1,42,1,0,0,272,3,275
West Bengal,Attempt to Commit Murder,12,0,1011,43,1668,72,948,47,49,0,3688,162,3850
Total (State),Attempt to Commit Murder,924,20,33106,1068,26993,1442,11952,641,1418,78,74393,3249,77642
A&N Islands,Attempt to Commit Murder,0,0,1,0,2,0,1,0,0,0,4,0,4
Chandigarh,Attempt to Commit Murder,4,0,39,0,32,0,24,0,2,0,101,0,101
D&N Haveli,Attempt to Commit Murder,0,0,0,0,1,0,0,0,0,0,1,0,1
Daman & Diu,Attempt to Commit Murder,0,0,0,0,1,0,0,0,0,0,1,0,1
Delhi UT,Attempt to Commit Murder,66,1,611,8,321,7,68,7,2,1,1068,24,1092
Lakshadweep,Attempt to Commit Murder,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Attempt to Commit Murder,2,0,26,0,6,0,2,0,0,0,36,0,36
Total (UTs),Attempt to Commit Murder,72,1,677,8,363,7,95,7,4,1,1211,24,1235
Total (All-India),Attempt to Commit Murder,996,21,33783,1076,27356,1449,12047,648,1422,79,75604,3273,78877
Andhra Pradesh,Auto Theft,229,5,3790,19,1577,14,308,6,15,4,5919,48,5967
Arunachal Pradesh,Auto Theft,7,0,70,0,27,0,0,0,0,0,104,0,104
Assam,Auto Theft,2,0,639,0,933,0,143,0,0,0,1717,0,1717
Bihar,Auto Theft,76,0,2582,1,1219,0,111,0,3,0,3991,1,3992
Chhattisgarh,Auto Theft,68,0,681,0,246,0,46,0,0,0,1041,0,1041
Goa,Auto Theft,6,0,62,0,8,0,2,0,0,0,78,0,78
Gujarat,Auto Theft,219,0,1710,6,730,2,128,4,4,0,2791,12,2803
Haryana,Auto Theft,102,0,2323,0,1076,0,276,0,33,0,3810,0,3810
Himachal Pradesh,Auto Theft,11,0,73,0,34,0,7,0,0,0,125,0,125
Jammu & Kashmir,Auto Theft,1,0,61,0,74,0,26,0,0,0,162,0,162
Jharkhand,Auto Theft,9,0,510,0,226,2,111,0,0,0,856,2,858
Karnataka,Auto Theft,78,0,1513,1,815,10,278,12,40,0,2724,23,2747
Kerala,Auto Theft,127,0,527,0,272,1,58,0,2,0,986,1,987
Madhya Pradesh,Auto Theft,207,5,2686,0,1094,1,235,0,10,0,4232,6,4238
Maharashtra,Auto Theft,570,1,4082,5,1200,5,253,1,5,0,6110,12,6122
Manipur,Auto Theft,0,0,80,4,46,5,2,0,1,0,129,9,138
Meghalaya,Auto Theft,3,0,19,0,22,0,3,0,0,0,47,0,47
Mizoram,Auto Theft,0,0,43,0,32,0,0,0,0,0,75,0,75
Nagaland,Auto Theft,0,0,84,0,25,0,4,0,0,0,113,0,113
Odisha,Auto Theft,17,0,1070,6,781,2,134,1,0,0,2002,9,2011
Punjab,Auto Theft,23,0,677,12,392,10,133,0,2,0,1227,22,1249
Rajasthan,Auto Theft,202,0,1954,7,696,0,167,0,5,0,3024,7,3031
Sikkim,Auto Theft,0,0,10,0,8,0,3,0,0,0,21,0,21
Tamil Nadu,Auto Theft,109,0,2207,0,1081,0,638,0,19,0,4054,0,4054
Tripura,Auto Theft,6,0,43,0,37,0,12,0,1,0,99,0,99
Uttar Pradesh,Auto Theft,30,0,3786,0,1571,0,181,0,0,0,5568,0,5568
Uttarakhand,Auto Theft,17,0,188,0,151,0,2,0,0,0,358,0,358
West Bengal,Auto Theft,8,0,1194,0,1100,0,227,0,0,0,2529,0,2529
Total (State),Auto Theft,2127,11,32664,61,15473,52,3488,24,140,4,53892,152,54044
A&N Islands,Auto Theft,0,0,1,0,0,0,0,0,0,0,1,0,1
Chandigarh,Auto Theft,21,0,357,2,144,0,7,0,0,0,529,2,531
D&N Haveli,Auto Theft,0,0,14,0,1,0,0,0,0,0,15,0,15
Daman & Diu,Auto Theft,3,0,4,0,3,0,0,0,0,0,10,0,10
Delhi UT,Auto Theft,193,0,2351,0,599,0,55,0,1,0,3199,0,3199
Lakshadweep,Auto Theft,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Auto Theft,4,0,40,0,11,0,1,0,0,0,56,0,56
Total (UTs),Auto Theft,221,0,2767,2,758,0,63,0,1,0,3810,2,3812
Total (All-India),Auto Theft,2348,11,35431,63,16231,52,3551,24,141,4,57702,154,57856
Andhra Pradesh,Burglary,382,1,4274,81,2131,63,495,10,21,0,7303,155,7458
Arunachal Pradesh,Burglary,23,0,92,0,10,0,0,0,0,0,125,0,125
Assam,Burglary,128,0,1178,0,1583,0,377,0,15,0,3281,0,3281
Bihar,Burglary,49,0,1385,6,1325,0,430,0,16,0,3205,6,3211
Chhattisgarh,Burglary,244,3,1131,11,492,8,138,6,6,0,2011,28,2039
Goa,Burglary,22,0,113,13,30,3,6,2,0,1,171,19,190
Gujarat,Burglary,144,6,1958,38,1093,30,278,11,12,2,3485,87,3572
Haryana,Burglary,142,0,1952,22,1032,23,244,2,48,1,3418,48,3466
Himachal Pradesh,Burglary,50,2,242,9,144,8,42,4,5,1,483,24,507
Jammu & Kashmir,Burglary,16,0,209,6,243,3,102,1,7,0,577,10,587
Jharkhand,Burglary,21,0,260,4,154,3,43,0,0,0,478,7,485
Karnataka,Burglary,60,2,1690,23,1147,11,322,10,61,0,3280,46,3326
Kerala,Burglary,110,2,752,23,689,22,275,4,14,0,1840,51,1891
Madhya Pradesh,Burglary,449,5,3453,31,1901,34,575,9,56,0,6434,79,6513
Maharashtra,Burglary,918,13,8182,247,3609,240,1141,104,110,14,13960,618,14578
Manipur,Burglary,1,0,15,0,4,1,1,0,0,0,21,1,22
Meghalaya,Burglary,28,0,48,1,17,0,0,0,0,0,93,1,94
Mizoram,Burglary,35,0,226,11,103,3,18,0,0,0,382,14,396
Nagaland,Burglary,0,0,19,1,6,0,0,0,0,0,25,1,26
Odisha,Burglary,103,2,1699,14,817,17,312,3,8,0,2939,36,2975
Punjab,Burglary,40,0,976,25,788,26,278,5,1,0,2083,56,2139
Rajasthan,Burglary,280,4,1525,18,783,35,287,6,7,1,2882,64,2946
Sikkim,Burglary,0,0,42,0,38,0,30,0,0,0,110,0,110
Tamil Nadu,Burglary,189,6,2304,28,1640,31,542,8,15,0,4690,73,4763
Tripura,Burglary,8,0,147,2,56,0,4,0,0,0,215,2,217
Uttar Pradesh,Burglary,85,1,3440,0,1666,7,442,0,2,0,5635,8,5643
Uttarakhand,Burglary,42,0,141,0,91,1,22,3,0,0,296,4,300
West Bengal,Burglary,0,0,288,0,172,0,32,0,1,0,493,0,493
Total (State),Burglary,3569,47,37741,614,21764,569,6436,188,405,20,69915,1438,71353
A&N Islands,Burglary,3,0,13,0,10,2,3,0,1,0,30,2,32
Chandigarh,Burglary,12,0,98,2,87,1,44,1,2,0,243,4,247
D&N Haveli,Burglary,2,0,28,0,0,0,0,0,0,0,30,0,30
Daman & Diu,Burglary,5,0,28,0,10,0,1,0,0,0,44,0,44
Delhi UT,Burglary,143,1,956,6,287,2,22,1,12,0,1420,10,1430
Lakshadweep,Burglary,0,0,0,0,1,0,0,0,0,0,1,0,1
Puducherry,Burglary,2,0,104,0,11,5,0,1,0,0,117,6,123
Total (UTs),Burglary,167,1,1227,8,406,10,70,3,15,0,1885,22,1907
Total (All-India),Burglary,3736,48,38968,622,22170,579,6506,191,420,20,71800,1460,73260
Andhra Pradesh,C H Not amounting to Murder,5,0,95,2,99,6,50,6,15,2,264,16,280
Arunachal Pradesh,C H Not amounting to Murder,0,0,2,0,1,0,0,0,0,0,3,0,3
Assam,C H Not amounting to Murder,3,0,11,0,34,0,3,0,0,0,51,0,51
Bihar,C H Not amounting to Murder,5,0,202,9,198,5,77,1,8,0,490,15,505
Chhattisgarh,C H Not amounting to Murder,2,0,13,0,26,1,8,0,0,0,49,1,50
Goa,C H Not amounting to Murder,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,C H Not amounting to Murder,0,0,17,0,36,2,15,2,2,0,70,4,74
Haryana,C H Not amounting to Murder,3,0,15,1,35,2,14,0,4,0,71,3,74
Himachal Pradesh,C H Not amounting to Murder,0,0,10,0,7,0,2,0,0,0,19,0,19
Jammu & Kashmir,C H Not amounting to Murder,0,0,5,1,10,0,3,0,1,0,19,1,20
Jharkhand,C H Not amounting to Murder,0,0,30,0,48,2,19,0,0,0,97,2,99
Karnataka,C H Not amounting to Murder,1,0,20,1,48,3,23,1,1,0,93,5,98
Kerala,C H Not amounting to Murder,4,0,39,0,68,0,32,2,2,0,145,2,147
Madhya Pradesh,C H Not amounting to Murder,4,0,80,1,90,2,29,0,3,0,206,3,209
Maharashtra,C H Not amounting to Murder,6,0,117,7,200,20,80,5,12,0,415,32,447
Manipur,C H Not amounting to Murder,0,0,1,0,0,0,0,0,2,0,3,0,3
Meghalaya,C H Not amounting to Murder,0,0,9,0,9,0,1,0,0,0,19,0,19
Mizoram,C H Not amounting to Murder,0,0,0,0,2,0,0,0,0,0,2,0,2
Nagaland,C H Not amounting to Murder,0,0,8,0,2,0,0,0,1,0,11,0,11
Odisha,C H Not amounting to Murder,0,0,14,4,24,10,8,6,1,0,47,20,67
Punjab,C H Not amounting to Murder,2,0,42,3,66,3,23,1,0,0,133,7,140
Rajasthan,C H Not amounting to Murder,1,0,40,0,43,0,15,0,0,0,99,0,99
Sikkim,C H Not amounting to Murder,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,C H Not amounting to Murder,1,0,6,0,10,1,19,0,0,0,36,1,37
Tripura,C H Not amounting to Murder,0,0,0,0,1,0,0,0,0,0,1,0,1
Uttar Pradesh,C H Not amounting to Murder,30,0,1916,17,1009,19,453,1,16,1,3424,38,3462
Uttarakhand,C H Not amounting to Murder,2,0,21,2,19,4,2,1,0,0,44,7,51
West Bengal,C H Not amounting to Murder,6,0,128,6,246,3,68,4,4,0,452,13,465
Total (State),C H Not amounting to Murder,75,0,2841,54,2331,83,944,30,72,3,6263,170,6433
A&N Islands,C H Not amounting to Murder,0,0,0,0,1,0,0,0,0,0,1,0,1
Chandigarh,C H Not amounting to Murder,0,0,4,0,3,0,2,0,0,0,9,0,9
D&N Haveli,C H Not amounting to Murder,0,0,1,0,0,0,0,0,0,0,1,0,1
Daman & Diu,C H Not amounting to Murder,0,0,3,0,0,0,0,0,0,0,3,0,3
Delhi UT,C H Not amounting to Murder,5,0,38,2,14,1,5,1,0,0,62,4,66
Lakshadweep,C H Not amounting to Murder,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,C H Not amounting to Murder,1,0,4,0,0,0,0,0,0,0,5,0,5
Total (UTs),C H Not amounting to Murder,6,0,50,2,18,1,7,1,0,0,81,4,85
Total (All-India),C H Not amounting to Murder,81,0,2891,56,2349,84,951,31,72,3,6344,174,6518
Andhra Pradesh,Causing death by negligence,45,0,4994,22,4540,8,1771,0,219,0,11569,30,11599
Arunachal Pradesh,Causing death by negligence,0,0,72,0,32,0,1,0,0,0,105,0,105
Assam,Causing death by negligence,0,0,1038,0,1504,0,394,0,0,0,2936,0,2936
Bihar,Causing death by negligence,6,2,2003,4,1311,2,441,0,23,0,3784,8,3792
Chhattisgarh,Causing death by negligence,20,0,954,1,844,1,308,1,34,0,2160,3,2163
Goa,Causing death by negligence,0,0,73,1,52,0,27,1,5,1,157,3,160
Gujarat,Causing death by negligence,9,0,1675,6,1845,5,759,5,33,0,4321,16,4337
Haryana,Causing death by negligence,3,0,1068,2,1379,4,516,0,45,0,3011,6,3017
Himachal Pradesh,Causing death by negligence,0,0,121,0,156,0,33,0,4,0,314,0,314
Jammu & Kashmir,Causing death by negligence,1,0,115,1,118,0,61,0,4,0,299,1,300
Jharkhand,Causing death by negligence,2,0,613,0,364,0,138,0,0,0,1117,0,1117
Karnataka,Causing death by negligence,1,0,260,6,351,4,150,4,10,0,772,14,786
Kerala,Causing death by negligence,0,0,11,0,25,0,4,0,0,0,40,0,40
Madhya Pradesh,Causing death by negligence,44,3,3163,7,2996,9,943,6,75,0,7221,25,7246
Maharashtra,Causing death by negligence,60,3,4131,26,3808,17,1293,7,75,1,9367,54,9421
Manipur,Causing death by negligence,0,0,1,0,0,0,0,0,0,0,1,0,1
Meghalaya,Causing death by negligence,0,0,41,0,28,0,5,0,0,0,74,0,74
Mizoram,Causing death by negligence,0,0,19,0,17,0,10,0,1,0,47,0,47
Nagaland,Causing death by negligence,0,0,10,0,5,0,3,0,0,0,18,0,18
Odisha,Causing death by negligence,5,0,1808,5,1406,3,618,2,101,0,3938,10,3948
Punjab,Causing death by negligence,4,0,1032,35,1062,2,469,3,39,0,2606,40,2646
Rajasthan,Causing death by negligence,11,0,2873,2,3053,5,1055,3,36,0,7028,10,7038
Sikkim,Causing death by negligence,0,0,33,0,17,0,6,0,0,0,56,0,56
Tamil Nadu,Causing death by negligence,34,1,5364,43,5372,28,2193,1,193,1,13156,74,13230
Tripura,Causing death by negligence,0,0,109,0,52,0,6,0,0,0,167,0,167
Uttar Pradesh,Causing death by negligence,3,0,6424,7,3543,13,1846,6,42,0,11858,26,11884
Uttarakhand,Causing death by negligence,2,0,196,0,176,0,63,0,0,0,437,0,437
West Bengal,Causing death by negligence,0,0,1271,4,1182,3,617,0,34,0,3104,7,3111
Total (State),Causing death by negligence,250,9,39472,172,35238,104,13730,39,973,3,89663,327,89990
A&N Islands,Causing death by negligence,0,0,1,0,2,1,1,0,1,0,5,1,6
Chandigarh,Causing death by negligence,0,0,0,0,4,0,2,0,0,0,6,0,6
D&N Haveli,Causing death by negligence,0,0,5,0,9,0,7,0,0,0,21,0,21
Daman & Diu,Causing death by negligence,1,0,16,0,4,0,0,0,0,0,21,0,21
Delhi UT,Causing death by negligence,2,0,399,2,191,4,45,2,2,0,639,8,647
Lakshadweep,Causing death by negligence,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Causing death by negligence,1,1,94,0,83,0,27,2,5,0,210,3,213
Total (UTs),Causing death by negligence,4,1,515,2,293,5,82,4,8,0,902,12,914
Total (All-India),Causing death by negligence,254,10,39987,174,35531,109,13812,43,981,3,90565,339,90904
Andhra Pradesh,Cheating,8,0,3457,181,4352,299,2008,137,222,9,10047,626,10673
Arunachal Pradesh,Cheating,0,0,8,0,51,0,4,0,1,0,64,0,64
Assam,Cheating,1,0,614,7,917,2,322,0,0,0,1854,9,1863
Bihar,Cheating,33,2,1957,19,2155,50,832,21,64,0,5041,92,5133
Chhattisgarh,Cheating,1,0,429,12,652,21,258,8,16,3,1356,44,1400
Goa,Cheating,0,0,34,2,60,7,20,3,4,2,118,14,132
Gujarat,Cheating,1,1,609,19,973,64,479,18,70,5,2132,107,2239
Haryana,Cheating,5,0,511,18,795,32,260,10,54,3,1625,63,1688
Himachal Pradesh,Cheating,1,0,55,11,150,23,84,8,11,2,301,44,345
Jammu & Kashmir,Cheating,0,0,196,1,299,3,208,0,44,0,747,4,751
Jharkhand,Cheating,8,0,637,17,1010,23,311,2,2,0,1968,42,2010
Karnataka,Cheating,7,0,1426,89,1930,205,884,104,200,20,4447,418,4865
Kerala,Cheating,1,0,951,86,1794,231,905,79,114,8,3765,404,4169
Madhya Pradesh,Cheating,18,0,997,16,877,52,412,22,42,2,2346,92,2438
Maharashtra,Cheating,22,0,3918,250,5024,422,2478,222,501,62,11943,956,12899
Manipur,Cheating,0,0,23,1,25,4,16,0,2,0,66,5,71
Meghalaya,Cheating,2,0,81,4,54,7,2,1,7,0,146,12,158
Mizoram,Cheating,0,0,10,5,13,6,10,0,0,0,33,11,44
Nagaland,Cheating,0,0,11,0,29,2,12,0,0,0,52,2,54
Odisha,Cheating,0,0,680,36,1015,50,351,6,8,2,2054,94,2148
Punjab,Cheating,11,0,1290,198,1689,263,856,74,7,1,3853,536,4389
Rajasthan,Cheating,11,0,1494,62,2257,138,1262,93,254,13,5278,306,5584
Sikkim,Cheating,0,0,13,1,11,0,6,0,0,0,30,1,31
Tamil Nadu,Cheating,9,0,779,39,1773,178,1628,75,143,6,4332,298,4630
Tripura,Cheating,0,0,69,1,87,2,28,1,6,0,190,4,194
Uttar Pradesh,Cheating,2,0,17488,46,10793,119,5281,68,480,4,34044,237,34281
Uttarakhand,Cheating,3,0,55,0,195,2,123,0,0,0,376,2,378
West Bengal,Cheating,0,0,1847,121,2790,153,1106,83,88,16,5831,373,6204
Total (State),Cheating,144,3,39639,1242,41770,2358,20146,1035,2340,158,104039,4796,108835
A&N Islands,Cheating,0,0,6,0,8,1,4,0,0,0,18,1,19
Chandigarh,Cheating,0,0,56,0,138,3,67,4,0,2,261,9,270
D&N Haveli,Cheating,0,0,7,0,2,0,0,0,0,0,9,0,9
Daman & Diu,Cheating,0,0,15,0,7,0,0,0,0,0,22,0,22
Delhi UT,Cheating,5,0,575,23,581,45,161,2,26,0,1348,70,1418
Lakshadweep,Cheating,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Cheating,0,0,7,3,14,5,10,2,3,2,34,12,46
Total (UTs),Cheating,5,0,666,26,750,54,242,8,29,4,1692,92,1784
Total (All-India),Cheating,149,3,40305,1268,42520,2412,20388,1043,2369,162,105731,4888,110619
Andhra Pradesh,Counterfeiting,4,0,110,8,135,6,40,7,2,0,291,21,312
Arunachal Pradesh,Counterfeiting,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Counterfeiting,0,0,19,0,63,0,2,0,0,0,84,0,84
Bihar,Counterfeiting,0,0,233,0,67,0,4,0,0,0,304,0,304
Chhattisgarh,Counterfeiting,0,0,19,1,22,1,0,0,0,0,41,2,43
Goa,Counterfeiting,0,0,1,0,1,0,0,0,0,0,2,0,2
Gujarat,Counterfeiting,0,0,37,0,33,1,5,1,0,0,75,2,77
Haryana,Counterfeiting,0,0,11,0,20,0,6,0,0,0,37,0,37
Himachal Pradesh,Counterfeiting,0,0,12,1,9,3,3,0,0,0,24,4,28
Jammu & Kashmir,Counterfeiting,0,0,8,0,17,0,17,0,0,0,42,0,42
