state_ut,crime_head,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_number_of_persons_under_trial_during_the_year,persons_against_whom_cases_were_compounded_or_withdrawn,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted,persons_acquitted
UTTARAKHAND,INFANTICIDE (SECTION 315 IPC),0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,INFANTICIDE (SECTION 315 IPC),0,1,0,0,1,3,4,0,4,0,0,0
TOTAL (STATES),INFANTICIDE (SECTION 315 IPC),22,65,0,20,67,268,335,0,288,47,21,26
A & N ISLANDS,INFANTICIDE (SECTION 315 IPC),0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,INFANTICIDE (SECTION 315 IPC),0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,INFANTICIDE (SECTION 315 IPC),0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,INFANTICIDE (SECTION 315 IPC),0,0,0,0,0,0,0,0,0,0,0,0
DELHI,INFANTICIDE (SECTION 315 IPC),0,3,0,0,3,0,3,0,0,3,0,3
LAKSHADWEEP,INFANTICIDE (SECTION 315 IPC),0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,INFANTICIDE (SECTION 315 IPC),0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),INFANTICIDE (SECTION 315 IPC),0,3,0,0,3,0,3,0,0,3,0,3
TOTAL (ALL-INDIA),INFANTICIDE (SECTION 315 IPC),22,68,0,20,70,268,338,0,288,50,21,29
ANDHRA PRADESH,MURDER (SECTION 302 IPC),50,140,0,50,140,147,287,0,216,71,12,59
ARUNACHAL PRADESH,MURDER (SECTION 302 IPC),0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,MURDER (SECTION 302 IPC),7,15,1,14,7,29,36,0,36,0,0,0
BIHAR,MURDER (SECTION 302 IPC),220,220,6,179,255,845,1100,0,843,257,50,207
CHHATTISGARH,MURDER (SECTION 302 IPC),1,74,0,0,75,129,204,0,148,56,25,31
GOA,MURDER (SECTION 302 IPC),0,2,0,0,2,19,21,0,21,0,0,0
GUJARAT,MURDER (SECTION 302 IPC),4,52,0,1,55,441,496,0,474,22,1,21
HARYANA,MURDER (SECTION 302 IPC),0,58,0,2,56,44,100,0,73,27,7,20
HIMACHAL PRADESH,MURDER (SECTION 302 IPC),0,9,0,0,9,11,20,0,14,6,0,6
JAMMU & KASHMIR,MURDER (SECTION 302 IPC),0,0,0,0,0,14,14,0,14,0,0,0
JHARKHAND,MURDER (SECTION 302 IPC),4,1,0,5,0,2,2,0,0,2,0,2
KARNATAKA,MURDER (SECTION 302 IPC),9,65,0,7,67,187,254,9,160,85,4,81
KERALA,MURDER (SECTION 302 IPC),17,29,0,12,34,198,232,1,211,20,7,13
MADHYA PRADESH,MURDER (SECTION 302 IPC),8,191,0,0,199,621,820,0,683,137,62,75
MAHARASHTRA,MURDER (SECTION 302 IPC),73,255,1,105,222,1618,1840,1,1721,118,18,100
MANIPUR,MURDER (SECTION 302 IPC),7,0,0,7,0,0,0,0,0,0,0,0
MEGHALAYA,MURDER (SECTION 302 IPC),7,1,0,7,1,5,6,0,5,1,0,1
MIZORAM,MURDER (SECTION 302 IPC),0,1,0,0,1,1,2,0,1,1,1,0
NAGALAND,MURDER (SECTION 302 IPC),5,0,0,0,5,0,5,0,0,5,5,0
ODISHA,MURDER (SECTION 302 IPC),1,25,0,4,22,81,103,0,90,13,7,6
PUNJAB,MURDER (SECTION 302 IPC),30,43,1,27,45,109,154,0,121,33,18,15
RAJASTHAN,MURDER (SECTION 302 IPC),0,35,0,6,29,303,332,0,262,70,25,45
SIKKIM,MURDER (SECTION 302 IPC),0,0,0,0,0,15,15,0,8,7,5,2
TAMIL NADU,MURDER (SECTION 302 IPC),75,118,5,65,123,172,295,0,228,67,31,36
TRIPURA,MURDER (SECTION 302 IPC),6,3,0,3,6,16,22,0,10,12,2,10
UTTAR PRADESH,MURDER (SECTION 302 IPC),56,927,32,64,887,1981,2868,0,2428,440,263,177
UTTARAKHAND,MURDER (SECTION 302 IPC),0,8,0,0,8,21,29,0,11,18,14,4
WEST BENGAL,MURDER (SECTION 302 IPC),42,37,0,50,29,23,52,0,38,14,1,13
TOTAL (STATES),MURDER (SECTION 302 IPC),622,2309,46,608,2277,7032,9309,11,7816,1482,558,924
A & N ISLANDS,MURDER (SECTION 302 IPC),1,1,0,1,1,13,14,0,14,0,0,0
CHANDIGARH,MURDER (SECTION 302 IPC),0,0,0,0,0,9,9,0,6,3,3,0
D & N HAVELI,MURDER (SECTION 302 IPC),1,0,0,1,0,0,0,0,0,0,0,0
DAMAN & DIU,MURDER (SECTION 302 IPC),0,0,0,0,0,0,0,0,0,0,0,0
DELHI,MURDER (SECTION 302 IPC),24,43,0,13,54,247,301,0,272,29,19,10
LAKSHADWEEP,MURDER (SECTION 302 IPC),0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,MURDER (SECTION 302 IPC),0,0,0,0,0,1,1,0,1,0,0,0
TOTAL (UTs),MURDER (SECTION 302 IPC),26,44,0,15,55,270,325,0,293,32,22,10
TOTAL (ALL-INDIA),MURDER (SECTION 302 IPC),648,2353,46,623,2332,7302,9634,11,8109,1514,580,934
ANDHRA PRADESH,RAPE (SECTION 376 IPC),359,604,0,258,705,1005,1710,3,1172,535,56,479
ARUNACHAL PRADESH,RAPE (SECTION 376 IPC),4,18,0,12,10,67,77,0,73,4,1,3
ASSAM,RAPE (SECTION 376 IPC),73,155,9,126,93,97,190,0,175,15,0,15
BIHAR,RAPE (SECTION 376 IPC),64,148,1,70,141,309,450,4,349,97,17,80
CHHATTISGARH,RAPE (SECTION 376 IPC),9,531,0,0,540,1214,1754,17,1435,302,78,224
GOA,RAPE (SECTION 376 IPC),11,49,1,30,29,125,154,0,151,3,1,2
GUJARAT,RAPE (SECTION 376 IPC),8,210,0,17,201,963,1164,1,1066,97,13,84
HARYANA,RAPE (SECTION 376 IPC),0,379,0,0,379,181,560,0,400,160,15,145
HIMACHAL PRADESH,RAPE (SECTION 376 IPC),16,129,1,26,118,185,303,0,234,69,23,46
JAMMU & KASHMIR,RAPE (SECTION 376 IPC),0,21,0,0,21,33,54,0,46,8,1,7
JHARKHAND,RAPE (SECTION 376 IPC),3,4,0,5,2,24,26,0,9,17,0,17
KARNATAKA,RAPE (SECTION 376 IPC),15,178,0,37,156,391,547,0,427,120,19,101
KERALA,RAPE (SECTION 376 IPC),437,604,0,565,476,1210,1686,0,1581,105,25,80
MADHYA PRADESH,RAPE (SECTION 376 IPC),22,1970,0,9,1983,3778,5761,40,4458,1263,279,984
MAHARASHTRA,RAPE (SECTION 376 IPC),403,1257,1,447,1212,6073,7285,5,6875,405,47,358
MANIPUR,RAPE (SECTION 376 IPC),21,7,2,25,1,2,3,0,3,0,0,0
MEGHALAYA,RAPE (SECTION 376 IPC),91,84,33,117,25,111,136,0,130,6,2,4
MIZORAM,RAPE (SECTION 376 IPC),9,74,1,18,64,48,112,0,83,29,27,2
NAGALAND,RAPE (SECTION 376 IPC),16,8,0,0,24,0,24,0,0,24,24,0
ODISHA,RAPE (SECTION 376 IPC),6,242,0,16,232,466,698,0,655,43,11,32
PUNJAB,RAPE (SECTION 376 IPC),89,282,3,134,234,276,510,0,327,183,68,115
RAJASTHAN,RAPE (SECTION 376 IPC),2,491,0,5,488,1567,2055,2,1677,376,142,234
SIKKIM,RAPE (SECTION 376 IPC),0,19,0,7,12,62,74,0,34,40,30,10
TAMIL NADU,RAPE (SECTION 376 IPC),200,333,4,244,285,480,765,0,580,185,44,141
TRIPURA,RAPE (SECTION 376 IPC),40,12,2,5,45,114,159,0,78,81,12,69
UTTAR PRADESH,RAPE (SECTION 376 IPC),81,1581,192,121,1349,2472,3821,0,3210,611,333,278
UTTARAKHAND,RAPE (SECTION 376 IPC),0,33,0,3,30,45,75,0,56,19,13,6
WEST BENGAL,RAPE (SECTION 376 IPC),162,178,7,195,138,205,343,0,304,39,8,31
TOTAL (STATES),RAPE (SECTION 376 IPC),2141,9601,257,2492,8993,21503,30496,72,25588,4836,1289,3547
A & N ISLANDS,RAPE (SECTION 376 IPC),4,17,0,13,8,80,88,0,85,3,1,2
CHANDIGARH,RAPE (SECTION 376 IPC),6,18,4,2,18,36,54,0,30,24,8,16
D & N HAVELI,RAPE (SECTION 376 IPC),0,1,0,0,1,5,6,0,2,4,2,2
DAMAN & DIU,RAPE (SECTION 376 IPC),0,9,0,0,9,4,13,0,10,3,1,2
DELHI,RAPE (SECTION 376 IPC),119,516,1,127,507,1396,1903,0,1596,307,145,162
LAKSHADWEEP,RAPE (SECTION 376 IPC),0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,RAPE (SECTION 376 IPC),4,9,0,0,13,43,56,0,51,5,1,4
TOTAL (UTs),RAPE (SECTION 376 IPC),133,570,5,142,556,1564,2120,0,1774,346,158,188
TOTAL (ALL-INDIA),RAPE (SECTION 376 IPC),2274,10171,262,2634,9549,23067,32616,72,27362,5182,1447,3735
ANDHRA PRADESH,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",295,826,0,290,831,1066,1897,42,1319,536,44,492
ARUNACHAL PRADESH,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",2,20,1,7,14,67,81,0,80,1,1,0
ASSAM,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",27,68,4,69,22,34,56,0,54,2,0,2
BIHAR,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",1964,1870,32,1819,1983,3403,5386,0,4562,824,46,778
CHHATTISGARH,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",1,244,0,3,242,507,749,8,633,108,37,71
GOA,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",13,13,1,14,11,54,65,0,63,2,0,2
GUJARAT,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",72,938,0,79,931,3407,4338,0,4042,296,26,270
HARYANA,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",1,505,0,13,493,151,644,0,549,95,8,87
HIMACHAL PRADESH,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",28,85,2,42,69,143,212,1,174,37,6,31
JAMMU & KASHMIR,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",0,18,0,0,18,132,150,0,145,5,0,5
JHARKHAND,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",3,29,0,3,29,10,39,0,18,21,1,20
KARNATAKA,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",28,211,8,74,157,278,435,0,292,143,2,141
KERALA,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",46,163,3,45,161,402,563,0,518,45,5,40
MADHYA PRADESH,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",24,735,0,17,742,1304,2046,19,1544,483,108,375
MAHARASHTRA,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",468,1068,8,481,1047,4662,5709,1,5410,298,8,290
MANIPUR,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",71,26,23,73,1,0,1,0,1,0,0,0
MEGHALAYA,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",8,5,1,7,5,18,23,0,20,3,0,3
MIZORAM,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",1,1,0,0,2,2,4,0,1,3,3,0
NAGALAND,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",0,4,0,0,4,0,4,0,0,4,4,0
ODISHA,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",0,87,0,4,83,262,345,0,328,17,0,17
PUNJAB,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",306,356,40,347,275,597,872,0,750,122,39,83
RAJASTHAN,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",16,518,0,42,492,1480,1972,20,1605,347,126,221
SIKKIM,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",0,8,0,1,7,12,19,0,6,13,9,4
TAMIL NADU,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",332,560,23,473,396,615,1011,0,825,186,18,168
TRIPURA,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",9,7,4,4,8,29,37,0,13,24,2,22
UTTAR PRADESH,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",794,8394,2165,1596,5427,6365,11792,12,10000,1780,949,831
UTTARAKHAND,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",0,51,0,2,49,126,175,0,147,28,15,13
WEST BENGAL,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",264,558,58,409,355,814,1169,6,996,167,5,162
TOTAL (STATES),"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",4773,17368,2373,5914,13854,25940,39794,109,34095,5590,1462,4128
A & N ISLANDS,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",7,7,0,7,7,29,36,0,35,1,0,1
CHANDIGARH,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",10,21,3,10,18,43,61,0,42,19,8,11
D & N HAVELI,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",2,13,0,1,14,48,62,0,50,12,2,10
DAMAN & DIU,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",3,0,0,0,3,1,4,0,2,2,0,2
DELHI,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",66,438,23,109,372,1687,2059,0,1647,412,148,264
LAKSHADWEEP,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",0,16,0,3,13,56,69,0,57,12,5,7
TOTAL (UTs),"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",88,495,26,130,427,1864,2291,0,1833,458,163,295
TOTAL (ALL-INDIA),"KIDNAPPING AND ABDUCTION (SECTION 363-369, 371-373 IPC)",4861,17863,2399,6044,14281,27804,42085,109,35928,6048,1625,4423
ANDHRA PRADESH,"FOETICIDE (SECTION 315, 316 IPC)",2,0,0,0,2,3,5,0,3,2,0,2
ARUNACHAL PRADESH,"FOETICIDE (SECTION 315, 316 IPC)",0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,"FOETICIDE (SECTION 315, 316 IPC)",0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,"FOETICIDE (SECTION 315, 316 IPC)",6,1,1,0,6,9,15,0,11,4,0,4
CHHATTISGARH,"FOETICIDE (SECTION 315, 316 IPC)",0,1,0,0,1,10,11,0,7,4,3,1
GOA,"FOETICIDE (SECTION 315, 316 IPC)",0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,"FOETICIDE (SECTION 315, 316 IPC)",0,0,0,0,0,4,4,0,4,0,0,0
HARYANA,"FOETICIDE (SECTION 315, 316 IPC)",0,2,0,0,2,0,2,0,0,2,0,2
HIMACHAL PRADESH,"FOETICIDE (SECTION 315, 316 IPC)",0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,"FOETICIDE (SECTION 315, 316 IPC)",0,0,0,0,0,1,1,0,1,0,0,0
JHARKHAND,"FOETICIDE (SECTION 315, 316 IPC)",0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,"FOETICIDE (SECTION 315, 316 IPC)",0,0,0,0,0,1,1,0,1,0,0,0
KERALA,"FOETICIDE (SECTION 315, 316 IPC)",0,1,0,0,1,0,1,0,1,0,0,0
MADHYA PRADESH,"FOETICIDE (SECTION 315, 316 IPC)",0,12,0,0,12,7,19,0,16,3,0,3
MAHARASHTRA,"FOETICIDE (SECTION 315, 316 IPC)",6,29,3,15,17,41,58,0,56,2,2,0
MANIPUR,"FOETICIDE (SECTION 315, 316 IPC)",0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,"FOETICIDE (SECTION 315, 316 IPC)",0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,"FOETICIDE (SECTION 315, 316 IPC)",0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,"FOETICIDE (SECTION 315, 316 IPC)",0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,"FOETICIDE (SECTION 315, 316 IPC)",0,0,0,0,0,4,4,0,4,0,0,0
PUNJAB,"FOETICIDE (SECTION 315, 316 IPC)",5,0,0,0,5,6,11,0,5,6,0,6
RAJASTHAN,"FOETICIDE (SECTION 315, 316 IPC)",0,9,0,0,9,14,23,0,23,0,0,0
SIKKIM,"FOETICIDE (SECTION 315, 316 IPC)",0,2,0,0,2,0,2,0,2,0,0,0
TAMIL NADU,"FOETICIDE (SECTION 315, 316 IPC)",0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,"FOETICIDE (SECTION 315, 316 IPC)",0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,"FOETICIDE (SECTION 315, 316 IPC)",1,25,15,0,11,25,36,0,33,3,3,0
UTTARAKHAND,"FOETICIDE (SECTION 315, 316 IPC)",0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,"FOETICIDE (SECTION 315, 316 IPC)",0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (STATES),"FOETICIDE (SECTION 315, 316 IPC)",20,82,19,15,68,125,193,0,167,26,8,18
A & N ISLANDS,"FOETICIDE (SECTION 315, 316 IPC)",0,0,0,0,0,3,3,0,2,1,0,1
CHANDIGARH,"FOETICIDE (SECTION 315, 316 IPC)",0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,"FOETICIDE (SECTION 315, 316 IPC)",0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,"FOETICIDE (SECTION 315, 316 IPC)",0,0,0,0,0,0,0,0,0,0,0,0
DELHI,"FOETICIDE (SECTION 315, 316 IPC)",2,1,0,2,1,46,47,0,47,0,0,0
LAKSHADWEEP,"FOETICIDE (SECTION 315, 316 IPC)",0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,"FOETICIDE (SECTION 315, 316 IPC)",0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),"FOETICIDE (SECTION 315, 316 IPC)",2,1,0,2,1,49,50,0,49,1,0,1
TOTAL (ALL-INDIA),"FOETICIDE (SECTION 315, 316 IPC)",22,83,19,17,69,174,243,0,216,27,8,19
ANDHRA PRADESH,ABETMENT TO SUICIDE (SECTION 305 IPC),0,23,7,0,16,17,33,0,26,7,2,5
ARUNACHAL PRADESH,ABETMENT TO SUICIDE (SECTION 305 IPC),0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,ABETMENT TO SUICIDE (SECTION 305 IPC),2,0,0,2,0,4,4,0,4,0,0,0
BIHAR,ABETMENT TO SUICIDE (SECTION 305 IPC),0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,ABETMENT TO SUICIDE (SECTION 305 IPC),0,8,0,0,8,23,31,0,18,13,5,8
GOA,ABETMENT TO SUICIDE (SECTION 305 IPC),0,1,0,1,0,4,4,0,4,0,0,0
GUJARAT,ABETMENT TO SUICIDE (SECTION 305 IPC),0,1,0,0,1,7,8,0,8,0,0,0
HARYANA,ABETMENT TO SUICIDE (SECTION 305 IPC),0,3,0,0,3,0,3,0,3,0,0,0
HIMACHAL PRADESH,ABETMENT TO SUICIDE (SECTION 305 IPC),3,0,0,0,3,0,3,0,3,0,0,0
JAMMU & KASHMIR,ABETMENT TO SUICIDE (SECTION 305 IPC),0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,ABETMENT TO SUICIDE (SECTION 305 IPC),0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,ABETMENT TO SUICIDE (SECTION 305 IPC),0,0,0,0,0,0,0,0,0,0,0,0
KERALA,ABETMENT TO SUICIDE (SECTION 305 IPC),2,2,0,3,1,7,8,0,8,0,0,0
MADHYA PRADESH,ABETMENT TO SUICIDE (SECTION 305 IPC),0,36,0,0,36,19,55,0,50,5,1,4
MAHARASHTRA,ABETMENT TO SUICIDE (SECTION 305 IPC),8,28,0,8,28,96,124,0,103,21,5,16
MANIPUR,ABETMENT TO SUICIDE (SECTION 305 IPC),0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,ABETMENT TO SUICIDE (SECTION 305 IPC),0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,ABETMENT TO SUICIDE (SECTION 305 IPC),0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,ABETMENT TO SUICIDE (SECTION 305 IPC),0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,ABETMENT TO SUICIDE (SECTION 305 IPC),0,1,0,0,1,2,3,0,3,0,0,0
PUNJAB,ABETMENT TO SUICIDE (SECTION 305 IPC),2,1,0,0,3,0,3,0,3,0,0,0
RAJASTHAN,ABETMENT TO SUICIDE (SECTION 305 IPC),0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,ABETMENT TO SUICIDE (SECTION 305 IPC),0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ABETMENT TO SUICIDE (SECTION 305 IPC),3,2,0,5,0,1,1,0,1,0,0,0
TRIPURA,ABETMENT TO SUICIDE (SECTION 305 IPC),0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,ABETMENT TO SUICIDE (SECTION 305 IPC),0,163,59,8,96,16,112,0,109,3,0,3
UTTARAKHAND,ABETMENT TO SUICIDE (SECTION 305 IPC),0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,ABETMENT TO SUICIDE (SECTION 305 IPC),1,8,0,1,8,7,15,0,13,2,0,2
TOTAL (STATES),ABETMENT TO SUICIDE (SECTION 305 IPC),21,277,66,28,204,203,407,0,356,51,13,38
A & N ISLANDS,ABETMENT TO SUICIDE (SECTION 305 IPC),0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,ABETMENT TO SUICIDE (SECTION 305 IPC),0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,ABETMENT TO SUICIDE (SECTION 305 IPC),0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,ABETMENT TO SUICIDE (SECTION 305 IPC),0,0,0,0,0,0,0,0,0,0,0,0
DELHI,ABETMENT TO SUICIDE (SECTION 305 IPC),0,0,0,0,0,2,2,0,2,0,0,0
LAKSHADWEEP,ABETMENT TO SUICIDE (SECTION 305 IPC),0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,ABETMENT TO SUICIDE (SECTION 305 IPC),0,0,0,0,0,1,1,0,1,0,0,0
TOTAL (UTs),ABETMENT TO SUICIDE (SECTION 305 IPC),0,0,0,0,0,3,3,0,3,0,0,0
TOTAL (ALL-INDIA),ABETMENT TO SUICIDE (SECTION 305 IPC),21,277,66,28,204,206,410,0,359,51,13,38
ANDHRA PRADESH,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),20,8,0,23,5,24,29,0,11,18,0,18
ARUNACHAL PRADESH,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),0,0,0,0,0,4,4,0,4,0,0,0
CHHATTISGARH,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),1,6,0,0,7,19,26,0,25,1,1,0
GOA,EXPOSURE AND ABANDONMENT (SECTION 317 IPC),1,0,0,1,0,2,2,0,2,0,0,0
