area_name,year,group_name,sub_group_name,k_a_cases_reported,k_a_female_10_15_years,k_a_female_15_18_years,k_a_female_18_30_years,k_a_female_30_50_years,k_a_female_above_50_years,k_a_female_total,k_a_female_upto_10_years,k_a_grand_total,k_a_male_10_15_years,k_a_male_15_18_years,k_a_male_18_30_years,k_a_male_30_50_years,k_a_male_above_50_years,k_a_male_total,k_a_male_upto_10_years
Maharashtra,2004,Kidnap - For Adoption,01. For Adoption,3,0,0,0,0,0,1,1,3,0,0,0,0,0,2,2
Manipur,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2004,Kidnap - For Adoption,01. For Adoption,5,0,0,0,0,0,0,0,5,0,0,5,0,0,5,0
Nagaland,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2004,Kidnap - For Adoption,01. For Adoption,0,,,,,,,,,,,,,,,
Punjab,2004,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Tamil Nadu,2004,Kidnap - For Adoption,01. For Adoption,5,0,2,3,0,0,5,0,5,0,0,0,0,0,0,0
Uttar Pradesh,2004,Kidnap - For Adoption,01. For Adoption,6,0,0,0,0,0,0,0,6,0,0,4,1,0,6,1
West Bengal,2004,Kidnap - For Adoption,01. For Adoption,18,0,0,9,0,0,10,1,18,0,0,6,2,0,8,0
Andhra Pradesh,2005,Kidnap - For Adoption,01. For Adoption,3,0,0,2,0,0,3,1,3,0,0,0,0,0,0,0
Arunachal Pradesh,2005,Kidnap - For Adoption,01. For Adoption,2,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0
Assam,2005,Kidnap - For Adoption,01. For Adoption,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0
Bihar,2005,Kidnap - For Adoption,01. For Adoption,26,0,0,0,3,0,3,0,26,0,0,17,6,0,23,0
Chandigarh,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2005,Kidnap - For Adoption,01. For Adoption,2,,,,,,1,1,2,,,,,,1,1
Gujarat,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2005,Kidnap - For Adoption,01. For Adoption,17,5,5,1,0,0,11,0,18,1,2,3,0,0,7,1
Himachal Pradesh,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2005,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Karnataka,2005,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Madhya Pradesh,2005,Kidnap - For Adoption,01. For Adoption,6,5,1,0,0,0,6,0,6,0,0,0,0,0,0,0
Maharashtra,2005,Kidnap - For Adoption,01. For Adoption,12,0,7,0,0,0,8,1,12,0,0,1,0,0,4,3
Manipur,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2005,Kidnap - For Adoption,01. For Adoption,3,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0
Nagaland,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2005,Kidnap - For Adoption,01. For Adoption,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
Tamil Nadu,2005,Kidnap - For Adoption,01. For Adoption,33,,,24,0,,24,,33,,,,9,,9,
Tripura,2005,Kidnap - For Adoption,01. For Adoption,,,,,,,,,,0,,,,,,
Uttar Pradesh,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2006,Kidnap - For Adoption,01. For Adoption,50,0,0,,,,,0,50,0,0,50,,,50,0
Chhattisgarh,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2006,Kidnap - For Adoption,01. For Adoption,4,2,,,,,3,1,4,,,,,,1,1
Gujarat,2006,Kidnap - For Adoption,01. For Adoption,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
Himachal Pradesh,2006,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Jammu & Kashmir,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2006,Kidnap - For Adoption,01. For Adoption,2,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0
Karnataka,2006,Kidnap - For Adoption,01. For Adoption,11,0,0,0,0,0,0,0,11,0,0,6,5,0,11,0
Kerala,2006,Kidnap - For Adoption,01. For Adoption,3,,,,,,1,1,3,,,,,,2,2
Madhya Pradesh,2006,Kidnap - For Adoption,01. For Adoption,4,0,3,0,0,0,3,0,4,1,0,0,0,0,1,0
Maharashtra,2006,Kidnap - For Adoption,01. For Adoption,13,1,0,0,1,0,3,1,13,1,2,3,2,1,10,1
Manipur,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2006,Kidnap - For Adoption,01. For Adoption,4,1,0,3,0,0,4,0,4,0,0,0,0,0,0,0
Punjab,2006,Kidnap - For Adoption,01. For Adoption,1,,,,,,,0,1,,,,,,1,1
Tamil Nadu,2006,Kidnap - For Adoption,01. For Adoption,12,0,0,10,0,0,10,0,12,0,0,1,0,0,2,1
Tripura,2006,Kidnap - For Adoption,01. For Adoption,,,0,,,,,,,,,,,,,
Uttar Pradesh,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2007,Kidnap - For Adoption,01. For Adoption,5,0,0,2,0,0,2,0,5,1,0,1,0,0,3,1
Arunachal Pradesh,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2007,Kidnap - For Adoption,01. For Adoption,62,0,0,0,0,0,0,0,62,7,8,38,3,0,62,6
Chhattisgarh,2007,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Gujarat,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2007,Kidnap - For Adoption,01. For Adoption,2,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0
Himachal Pradesh,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2007,Kidnap - For Adoption,01. For Adoption,2,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0
Karnataka,2007,Kidnap - For Adoption,01. For Adoption,2,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0
Kerala,2007,Kidnap - For Adoption,01. For Adoption,1,,,,,,,,1,,,,,,1,1
Madhya Pradesh,2007,Kidnap - For Adoption,01. For Adoption,8,0,6,2,0,0,8,0,8,0,0,0,0,0,0,0
Maharashtra,2007,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Manipur,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2007,Kidnap - For Adoption,01. For Adoption,40,2,0,33,2,0,37,0,40,0,0,3,0,0,3,0
Puducherry,2007,Kidnap - For Adoption,01. For Adoption,0,,,,,,,,,,,,,,,
Punjab,2007,Kidnap - For Adoption,01. For Adoption,0,,,,,,,,,,,,,,,
Rajasthan,2007,Kidnap - For Adoption,01. For Adoption,1,,,,,,,,1,,,1,,,1,
Tamil Nadu,2007,Kidnap - For Adoption,01. For Adoption,6,0,0,3,3,0,6,0,6,0,0,0,0,0,0,0
West Bengal,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2008,Kidnap - For Adoption,01. For Adoption,72,0,0,0,0,0,0,0,72,11,1,36,22,0,72,2
Chhattisgarh,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2008,Kidnap - For Adoption,01. For Adoption,2,0,0,0,0,0,0,0,2,0,0,1,1,0,2,0
Haryana,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2008,Kidnap - For Adoption,01. For Adoption,5,0,0,2,0,0,3,1,5,0,0,1,0,0,2,1
Jharkhand,2008,Kidnap - For Adoption,01. For Adoption,7,0,,,,,,0,7,0,6,,,,7,1
Karnataka,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2008,Kidnap - For Adoption,01. For Adoption,10,0,7,0,0,0,7,0,10,0,0,0,0,2,3,1
Maharashtra,2008,Kidnap - For Adoption,01. For Adoption,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
Manipur,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2008,Kidnap - For Adoption,01. For Adoption,13,0,0,7,1,0,8,0,13,0,0,0,5,0,5,0
Puducherry,2008,Kidnap - For Adoption,01. For Adoption,0,,,,,,,,,,,,,,,
Punjab,2008,Kidnap - For Adoption,01. For Adoption,28,,,24,1,0,25,,28,,,3,0,0,3,
Sikkim,2008,Kidnap - For Adoption,01. For Adoption,1,,0,1,,0,1,,1,,,,,,,
Tamil Nadu,2008,Kidnap - For Adoption,01. For Adoption,4,0,0,3,0,0,4,1,4,0,0,0,0,0,0,0
West Bengal,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2009,Kidnap - For Adoption,01. For Adoption,11,0,0,0,0,0,0,0,11,6,3,2,0,0,11,0
Chandigarh,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2009,Kidnap - For Adoption,01. For Adoption,2,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2009,Kidnap - For Adoption,01. For Adoption,1,,,,,,,,1,,,,,,1,1
Delhi,2009,Kidnap - For Adoption,01. For Adoption,5,0,0,0,,,1,1,5,0,2,0,0,,4,2
Gujarat,2009,Kidnap - For Adoption,01. For Adoption,2,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1
Haryana,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2009,Kidnap - For Adoption,01. For Adoption,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Karnataka,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2009,Kidnap - For Adoption,01. For Adoption,23,0,20,0,0,0,20,0,23,1,1,0,0,0,3,1
Maharashtra,2009,Kidnap - For Adoption,01. For Adoption,2,0,0,0,0,0,0,0,3,0,0,2,1,0,3,0
Manipur,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2009,Kidnap - For Adoption,01. For Adoption,0,,,,,,,,,,,,,,,
Punjab,2009,Kidnap - For Adoption,01. For Adoption,1,,,,,,,,1,,,,,,1,1
Tamil Nadu,2009,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
West Bengal,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2010,Kidnap - For Adoption,01. For Adoption,3,0,0,0,0,0,0,0,3,0,0,0,2,0,3,1
Arunachal Pradesh,2010,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2010,Kidnap - For Adoption,01. For Adoption,6,,,,,,,,6,2,,1,2,,6,1
Chhattisgarh,2010,Kidnap - For Adoption,01. For Adoption,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0
Delhi,2010,Kidnap - For Adoption,01. For Adoption,1,,,,,,0,,1,,,,,,1,1
Goa,2010,Kidnap - For Adoption,01. For Adoption,1,,,,,,,,1,,,,,,1,1
Gujarat,2010,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2010,Kidnap - For Adoption,01. For Adoption,2,,,,,,0,,2,,,,,,2,2
Himachal Pradesh,2010,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Jammu & Kashmir,2010,Kidnap - For Adoption,01. For Adoption,3,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0
Jharkhand,2010,Kidnap - For Adoption,01. For Adoption,12,3,0,6,0,0,9,0,12,0,0,3,0,0,3,0
Karnataka,2010,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Kerala,2010,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2010,Kidnap - For Adoption,01. For Adoption,23,2,5,16,0,0,23,0,23,0,0,0,0,0,0,0
Maharashtra,2010,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
