area_name,year,sub_group_name,family_back_ground_homeless,family_back_ground_living_with_guardian,family_back_ground_living_with_parents,family_back_ground_total
Dadra & Nagar Haveli,2009,3. Family Background,0,0,26,26
Daman & Diu,2009,3. Family Background,0,1,2,3
Delhi,2009,3. Family Background,26,76,484,586
Goa,2009,3. Family Background,1,6,69,76
Gujarat,2009,3. Family Background,155,262,2049,2466
Haryana,2009,3. Family Background,223,50,1101,1374
Himachal Pradesh,2009,3. Family Background,0,0,170,170
Jammu & Kashmir,2009,3. Family Background,0,0,11,11
Jharkhand,2009,3. Family Background,124,201,463,788
Karnataka,2009,3. Family Background,10,27,245,282
Kerala,2009,3. Family Background,33,35,639,707
Lakshadweep,2009,3. Family Background,0,0,0,0
Madhya Pradesh,2009,3. Family Background,331,1238,4617,6186
Maharashtra,2009,3. Family Background,438,864,5670,6972
Manipur,2009,3. Family Background,0,0,0,0
Meghalaya,2009,3. Family Background,7,13,68,88
Mizoram,2009,3. Family Background,0,0,20,20
Nagaland,2009,3. Family Background,12,6,2,20
Odisha,2009,3. Family Background,15,48,420,483
Puducherry,2009,3. Family Background,0,3,78,81
Punjab,2009,3. Family Background,0,3,230,233
Rajasthan,2009,3. Family Background,21,196,2239,2456
Sikkim,2009,3. Family Background,7,10,43,60
Tamil Nadu,2009,3. Family Background,338,225,2358,2921
Tripura,2009,3. Family Background,12,33,46,91
Uttar Pradesh,2009,3. Family Background,0,23,452,475
Uttarakhand,2009,3. Family Background,44,32,178,254
West Bengal,2009,3. Family Background,36,79,80,195
Andaman & Nicobar Islands,2010,3. Family Background,0,9,17,26
Andhra Pradesh,2010,3. Family Background,172,235,1542,1949
Arunachal Pradesh,2010,3. Family Background,0,54,27,81
Assam,2010,3. Family Background,84,143,158,385
Bihar,2010,3. Family Background,117,149,476,742
Chandigarh,2010,3. Family Background,0,8,160,168
Chhattisgarh,2010,3. Family Background,33,430,1893,2356
Dadra & Nagar Haveli,2010,3. Family Background,0,0,19,19
Daman & Diu,2010,3. Family Background,2,4,4,10
Delhi,2010,3. Family Background,36,87,504,627
Goa,2010,3. Family Background,0,2,75,77
Gujarat,2010,3. Family Background,164,281,1676,2121
Haryana,2010,3. Family Background,149,18,740,907
Himachal Pradesh,2010,3. Family Background,0,4,214,218
Jammu & Kashmir,2010,3. Family Background,0,1,26,27
Jharkhand,2010,3. Family Background,3,5,96,104
Karnataka,2010,3. Family Background,8,27,169,204
Kerala,2010,3. Family Background,7,55,764,826
Lakshadweep,2010,3. Family Background,0,0,0,0
Madhya Pradesh,2010,3. Family Background,204,919,5326,6449
Maharashtra,2010,3. Family Background,429,793,5166,6388
Manipur,2010,3. Family Background,0,0,0,0
Meghalaya,2010,3. Family Background,0,49,69,118
Mizoram,2010,3. Family Background,0,2,114,116
Nagaland,2010,3. Family Background,0,11,42,53
Odisha,2010,3. Family Background,28,73,443,544
Puducherry,2010,3. Family Background,0,3,46,49
Punjab,2010,3. Family Background,2,21,223,246
Rajasthan,2010,3. Family Background,43,165,2170,2378
Sikkim,2010,3. Family Background,2,10,70,82
Tamil Nadu,2010,3. Family Background,116,302,1226,1644
Tripura,2010,3. Family Background,0,0,46,46
Uttar Pradesh,2010,3. Family Background,13,98,741,852
Uttarakhand,2010,3. Family Background,42,2,110,154
West Bengal,2010,3. Family Background,18,122,197,337
