state_ut,crime_head,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_number_of_persons_under_trial_during_the_year,persons_against_whom_cases_were_compounded_or_withdrawn,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted,persons_acquitted
Total (All-India),Cheating,46570,110619,19350,54283,83556,387719,471275,4997,424957,41321,10136,31185
Andhra Pradesh,Counterfeiting,273,312,0,342,243,781,1024,0,899,125,2,123
Arunachal Pradesh,Counterfeiting,0,0,0,0,0,47,47,0,47,0,0,0
Assam,Counterfeiting,228,84,35,209,68,504,572,0,527,45,6,39
Bihar,Counterfeiting,78,304,0,186,196,821,1017,0,921,96,15,81
Chhattisgarh,Counterfeiting,6,43,0,7,42,208,250,0,199,51,23,28
Goa,Counterfeiting,5,2,0,4,3,20,23,0,11,12,0,12
Gujarat,Counterfeiting,9,77,0,7,79,1091,1170,0,1133,37,4,33
Haryana,Counterfeiting,0,37,0,1,36,177,213,0,153,60,26,34
Himachal Pradesh,Counterfeiting,0,28,0,4,24,24,48,0,47,1,0,1
Jammu & Kashmir,Counterfeiting,4,42,0,4,42,315,357,0,336,21,0,21
Jharkhand,Counterfeiting,10,13,0,2,21,118,139,0,125,14,4,10
Karnataka,Counterfeiting,10,89,0,17,82,569,651,1,583,67,3,64
Kerala,Counterfeiting,360,61,2,330,89,978,1067,0,1055,12,2,10
Madhya Pradesh,Counterfeiting,0,50,0,1,49,297,346,3,315,28,17,11
Maharashtra,Counterfeiting,206,221,8,160,259,1945,2204,1,2129,74,18,56
Manipur,Counterfeiting,26,2,4,22,2,137,139,0,137,2,1,1
Meghalaya,Counterfeiting,46,19,9,46,10,75,85,0,82,3,1,2
Mizoram,Counterfeiting,1,9,1,4,5,4,9,0,4,5,4,1
Nagaland,Counterfeiting,5,7,3,4,5,8,13,0,5,8,7,1
Odisha,Counterfeiting,0,35,0,1,34,449,483,0,465,18,3,15
Punjab,Counterfeiting,108,71,0,127,52,435,487,0,359,128,79,49
Rajasthan,Counterfeiting,2,40,0,0,42,569,611,0,567,44,7,37
Sikkim,Counterfeiting,4,1,0,2,3,2,5,0,5,0,0,0
Tamil Nadu,Counterfeiting,266,104,11,253,106,307,413,0,327,86,8,78
Tripura,Counterfeiting,8,27,1,7,27,47,74,0,69,5,0,5
Uttar Pradesh,Counterfeiting,60,190,11,81,158,1391,1549,0,1384,165,105,60
Uttarakhand,Counterfeiting,5,41,0,3,43,116,159,0,112,47,38,9
West Bengal,Counterfeiting,429,490,55,436,428,1460,1888,0,1732,156,86,70
Total (State),Counterfeiting,2149,2399,140,2260,2148,12895,15043,5,13728,1310,459,851
A&N Islands,Counterfeiting,0,0,0,0,0,3,3,0,3,0,0,0
Chandigarh,Counterfeiting,0,4,2,0,2,7,9,0,7,2,2,0
D&N Haveli,Counterfeiting,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,Counterfeiting,0,2,0,2,0,0,0,0,0,0,0,0
Delhi UT,Counterfeiting,55,50,0,46,59,487,546,0,531,15,9,6
Lakshadweep,Counterfeiting,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Counterfeiting,6,1,0,7,0,6,6,0,6,0,0,0
Total (UTs),Counterfeiting,61,57,2,55,61,503,564,0,547,17,11,6
Total (All-India),Counterfeiting,2210,2456,142,2315,2209,13398,15607,5,14275,1327,470,857
Andhra Pradesh,Criminal Breach of Trust,796,1281,11,930,1136,3629,4765,174,3549,1042,127,915
Arunachal Pradesh,Criminal Breach of Trust,40,18,6,35,17,365,382,0,378,4,0,4
Assam,Criminal Breach of Trust,1343,1126,651,1260,558,1673,2231,0,1776,455,20,435
Bihar,Criminal Breach of Trust,2163,2497,335,1869,2456,14677,17133,94,15761,1278,123,1155
Chhattisgarh,Criminal Breach of Trust,14,202,0,18,198,1374,1572,18,1380,174,58,116
Goa,Criminal Breach of Trust,96,54,15,109,26,243,269,0,262,7,3,4
Gujarat,Criminal Breach of Trust,532,2149,0,430,2251,27933,30184,39,29125,1020,46,974
Haryana,Criminal Breach of Trust,84,679,0,49,714,2775,3489,0,2930,559,130,429
Himachal Pradesh,Criminal Breach of Trust,56,95,13,35,103,799,902,6,819,77,15,62
Jammu & Kashmir,Criminal Breach of Trust,12,294,0,16,290,1686,1976,0,1755,221,4,217
Jharkhand,Criminal Breach of Trust,325,653,0,334,644,1258,1902,12,1274,616,128,488
Karnataka,Criminal Breach of Trust,230,580,18,292,500,2599,3099,24,2721,354,11,343
Kerala,Criminal Breach of Trust,172,213,5,149,231,2177,2408,4,2272,132,13,119
Madhya Pradesh,Criminal Breach of Trust,50,645,0,51,644,4699,5343,71,4607,665,304,361
Maharashtra,Criminal Breach of Trust,1794,2864,41,1888,2729,35106,37835,241,36068,1526,95,1431
Manipur,Criminal Breach of Trust,38,9,10,36,1,53,54,0,54,0,0,0
Meghalaya,Criminal Breach of Trust,33,61,22,34,38,170,208,1,207,0,0,0
Mizoram,Criminal Breach of Trust,5,29,0,13,21,9,30,0,18,12,10,2
Nagaland,Criminal Breach of Trust,9,10,9,5,5,14,19,3,7,9,7,2
Odisha,Criminal Breach of Trust,69,555,3,73,548,3057,3605,0,3277,328,38,290
Punjab,Criminal Breach of Trust,356,327,14,430,239,1902,2141,1,1874,266,93,173
Rajasthan,Criminal Breach of Trust,8,263,0,3,268,2984,3252,31,3046,175,72,103
Sikkim,Criminal Breach of Trust,8,6,0,8,6,8,14,0,5,9,6,3
Tamil Nadu,Criminal Breach of Trust,411,356,0,502,265,754,1019,0,807,212,29,183
Tripura,Criminal Breach of Trust,3,59,0,23,39,137,176,2,141,33,6,27
Uttar Pradesh,Criminal Breach of Trust,2040,7840,3141,2752,3987,16343,20330,201,17723,2406,1185,1221
Uttarakhand,Criminal Breach of Trust,33,75,28,10,70,525,595,0,494,101,68,33
West Bengal,Criminal Breach of Trust,846,1435,306,725,1250,5946,7196,17,6743,436,14,422
Total (State),Criminal Breach of Trust,11566,24375,4628,12079,19234,132895,152129,939,139073,12117,2605,9512
A&N Islands,Criminal Breach of Trust,11,2,0,7,6,36,42,0,36,6,0,6
Chandigarh,Criminal Breach of Trust,11,32,6,6,31,165,196,0,182,14,2,12
D&N Haveli,Criminal Breach of Trust,23,0,1,19,3,176,179,0,179,0,0,0
Daman & Diu,Criminal Breach of Trust,1,7,0,2,6,34,40,5,23,12,0,12
Delhi UT,Criminal Breach of Trust,68,241,5,80,224,1504,1728,3,1513,212,88,124
Lakshadweep,Criminal Breach of Trust,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Criminal Breach of Trust,4,11,0,10,5,69,74,0,74,0,0,0
Total (UTs),Criminal Breach of Trust,118,293,12,124,275,1984,2259,8,2007,244,90,154
Total (All-India),Criminal Breach of Trust,11684,24668,4640,12203,19509,134879,154388,947,141080,12361,2695,9666
Andhra Pradesh,Cruelty by Husband or his Relatives,5377,22265,119,6678,20845,39554,60399,4864,43204,12331,1487,10844
Arunachal Pradesh,Cruelty by Husband or his Relatives,11,32,6,17,20,91,111,5,102,4,3,1
Assam,Cruelty by Husband or his Relatives,3588,7806,2062,4055,5277,8152,13429,189,9399,3841,168,3673
Bihar,Cruelty by Husband or his Relatives,5318,7923,236,4531,8474,17857,26331,521,22353,3457,425,3032
Chhattisgarh,Cruelty by Husband or his Relatives,111,2892,0,158,2845,9745,12590,303,10203,2084,490,1594
Goa,Cruelty by Husband or his Relatives,59,84,11,65,67,147,214,4,183,27,0,27
Gujarat,Cruelty by Husband or his Relatives,1407,24611,0,1524,24494,131733,156227,520,145958,9749,284,9465
Haryana,Cruelty by Husband or his Relatives,636,4803,0,289,5150,14197,19347,46,15064,4237,535,3702
Himachal Pradesh,Cruelty by Husband or his Relatives,91,765,0,104,752,3050,3802,192,3336,274,14,260
Jammu & Kashmir,Cruelty by Husband or his Relatives,11,898,0,15,894,1813,2707,366,2009,332,4,328
Jharkhand,Cruelty by Husband or his Relatives,1095,3020,4,1716,2395,2836,5231,95,3371,1765,359,1406
Karnataka,Cruelty by Husband or his Relatives,1261,5771,93,1088,5851,14745,20596,429,15095,5072,179,4893
Kerala,Cruelty by Husband or his Relatives,1203,6330,0,1254,6279,28944,35223,97,30394,4732,268,4464
Madhya Pradesh,Cruelty by Husband or his Relatives,69,13127,1,55,13140,38448,51588,5603,38243,7742,2275,5467
Maharashtra,Cruelty by Husband or his Relatives,7563,31492,32,9350,29673,190956,220629,3385,196116,21128,498,20630
Manipur,Cruelty by Husband or his Relatives,36,18,13,39,2,10,12,0,12,0,0,0
Meghalaya,Cruelty by Husband or his Relatives,22,25,9,23,15,58,73,0,68,5,0,5
Mizoram,Cruelty by Husband or his Relatives,0,5,0,0,5,0,5,0,1,4,3,1
Nagaland,Cruelty by Husband or his Relatives,0,6,0,5,1,1,2,0,1,1,1,0
Odisha,Cruelty by Husband or his Relatives,435,4673,10,435,4663,18636,23299,0,20634,2665,164,2501
Punjab,Cruelty by Husband or his Relatives,2183,2785,113,3073,1782,9029,10811,0,9583,1228,432,796
Rajasthan,Cruelty by Husband or his Relatives,131,10944,0,135,10940,44849,55789,1862,47128,6799,2375,4424
Sikkim,Cruelty by Husband or his Relatives,4,5,0,2,7,10,17,1,6,10,7,3
Tamil Nadu,Cruelty by Husband or his Relatives,2235,4475,302,2518,3890,7841,11731,9,8668,3054,540,2514
Tripura,Cruelty by Husband or his Relatives,282,1491,252,366,1155,1686,2841,16,1675,1150,93,1057
Uttar Pradesh,Cruelty by Husband or his Relatives,11076,42676,15018,13944,24790,62614,87404,1490,74156,11758,6237,5521
Uttarakhand,Cruelty by Husband or his Relatives,120,491,85,44,482,2577,3059,31,2592,436,246,190
West Bengal,Cruelty by Husband or his Relatives,4262,21400,886,4582,20194,109132,129326,35,119594,9697,101,9596
Total (State),Cruelty by Husband or his Relatives,48586,220813,19252,56065,194082,758711,952793,20063,819148,113582,17188,96394
A&N Islands,Cruelty by Husband or his Relatives,4,10,0,5,9,140,149,0,127,22,3,19
Chandigarh,Cruelty by Husband or his Relatives,26,112,4,43,91,474,565,0,418,147,13,134
D&N Haveli,Cruelty by Husband or his Relatives,0,0,0,0,0,44,44,0,44,0,0,0
Daman & Diu,Cruelty by Husband or his Relatives,3,3,0,1,5,31,36,0,18,18,0,18
Delhi UT,Cruelty by Husband or his Relatives,438,1137,10,482,1083,13989,15072,47,13638,1387,338,1049
Lakshadweep,Cruelty by Husband or his Relatives,1,0,0,0,1,0,1,0,1,0,0,0
Puducherry,Cruelty by Husband or his Relatives,6,16,0,10,12,56,68,0,60,8,0,8
Total (UTs),Cruelty by Husband or his Relatives,478,1278,14,541,1201,14734,15935,47,14306,1582,354,1228
Total (All-India),Cruelty by Husband or his Relatives,49064,222091,19266,56606,195283,773445,968728,20110,833454,115164,17542,97622
Andhra Pradesh,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Custodial Rape,0,0,0,0,0,3,3,0,0,3,0,3
Bihar,Custodial Rape,0,0,0,0,0,1,1,0,1,0,0,0
Chhattisgarh,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Goa,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,Custodial Rape,0,5,5,0,0,0,0,0,0,0,0,0
Kerala,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,Custodial Rape,0,0,0,0,0,6,6,0,6,0,0,0
Maharashtra,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,Custodial Rape,0,0,0,0,0,1,1,0,0,1,0,1
Nagaland,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Total (State),Custodial Rape,0,5,5,0,0,11,11,0,7,4,0,4
A&N Islands,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0
Total (All-India),Custodial Rape,0,5,5,0,0,11,11,0,7,4,0,4
Andhra Pradesh,Dacoity,275,542,0,380,437,2364,2801,0,2404,397,35,362
Arunachal Pradesh,Dacoity,22,31,8,23,22,898,920,1,918,1,1,0
Assam,Dacoity,2302,540,242,2164,436,4163,4599,0,4082,517,24,493
Bihar,Dacoity,2459,2047,203,2529,1774,27816,29590,3,27861,1726,154,1572
Chhattisgarh,Dacoity,100,254,0,72,282,1081,1363,0,1090,273,92,181
Goa,Dacoity,21,48,0,57,12,127,139,0,128,11,1,10
Gujarat,Dacoity,342,1275,7,184,1426,16567,17993,16,17584,393,1,392
Haryana,Dacoity,63,632,0,22,673,1140,1813,0,1213,600,143,457
Himachal Pradesh,Dacoity,1,59,0,30,30,77,107,0,85,22,7,15
Jammu & Kashmir,Dacoity,0,15,0,0,15,366,381,0,343,38,0,38
Jharkhand,Dacoity,803,551,0,769,585,3322,3907,3,3225,679,278,401
Karnataka,Dacoity,138,824,3,203,756,3623,4379,4,3887,488,80,408
Kerala,Dacoity,385,262,11,400,236,5251,5487,6,5286,195,30,165
Madhya Pradesh,Dacoity,43,607,0,14,636,2287,2923,0,2342,581,217,364
Maharashtra,Dacoity,1846,3944,97,2090,3603,44008,47611,9,45117,2485,92,2393
Manipur,Dacoity,7,0,0,7,0,88,88,0,87,1,0,1
Meghalaya,Dacoity,500,96,42,521,33,1194,1227,0,1218,9,0,9
Mizoram,Dacoity,1,10,0,10,1,6,7,0,7,0,0,0
Nagaland,Dacoity,2,1,0,1,2,14,16,0,2,14,13,1
Odisha,Dacoity,269,1892,0,252,1909,8593,10502,0,9329,1173,136,1037
Punjab,Dacoity,104,71,5,108,62,366,428,0,342,86,26,60
Rajasthan,Dacoity,20,193,0,25,188,1499,1687,5,1562,120,51,69
Sikkim,Dacoity,0,0,0,0,0,9,9,0,3,6,2,4
Tamil Nadu,Dacoity,358,476,18,362,454,3211,3665,0,3389,276,58,218
Tripura,Dacoity,7,9,2,8,6,93,99,0,68,31,4,27
Uttar Pradesh,Dacoity,353,6101,976,4041,1437,10433,11870,11,10552,1307,668,639
Uttarakhand,Dacoity,20,68,18,0,70,249,319,0,237,82,57,25
West Bengal,Dacoity,1524,695,123,1349,747,12792,13539,0,12978,561,54,507
Total (State),Dacoity,11965,21243,1755,15621,15832,151637,167469,58,155339,12072,2224,9848
A&N Islands,Dacoity,5,0,0,0,5,8,13,0,9,4,0,4
Chandigarh,Dacoity,0,34,0,22,12,38,50,0,24,26,0,26
D&N Haveli,Dacoity,19,9,1,12,15,93,108,0,102,6,0,6
Daman & Diu,Dacoity,5,28,0,0,33,52,85,0,85,0,0,0
Delhi UT,Dacoity,101,132,0,148,85,1331,1416,0,1276,140,55,85
Lakshadweep,Dacoity,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Dacoity,16,6,0,0,22,182,204,0,204,0,0,0
Total (UTs),Dacoity,146,209,1,182,172,1704,1876,0,1700,176,55,121
Total (All-India),Dacoity,12111,21452,1756,15803,16004,153341,169345,58,157039,12248,2279,9969
Andhra Pradesh,Dowry Deaths,543,1184,7,616,1104,2875,3979,4,2681,1294,126,1168
Arunachal Pradesh,Dowry Deaths,2,0,1,0,1,0,1,0,1,0,0,0
Assam,Dowry Deaths,340,205,26,355,164,718,882,0,802,80,25,55
Bihar,Dowry Deaths,3483,2893,32,2908,3436,15130,18566,288,16007,2271,308,1963
Chhattisgarh,Dowry Deaths,1,256,0,14,243,889,1132,0,919,213,66,147
Goa,Dowry Deaths,0,1,0,0,1,28,29,0,26,3,2,1
Gujarat,Dowry Deaths,4,67,0,0,71,1628,1699,0,1637,62,2,60
Haryana,Dowry Deaths,66,455,0,27,494,1171,1665,0,1069,596,162,434
Himachal Pradesh,Dowry Deaths,0,0,0,0,0,74,74,0,67,7,0,7
Jammu & Kashmir,Dowry Deaths,5,14,0,7,12,153,165,0,141,24,1,23
Jharkhand,Dowry Deaths,429,595,0,590,434,1003,1437,1,974,462,148,314
Karnataka,Dowry Deaths,113,770,8,141,734,1942,2676,7,2209,460,54,406
Kerala,Dowry Deaths,24,29,0,24,29,331,360,0,352,8,1,7
Madhya Pradesh,Dowry Deaths,38,2162,0,65,2135,7007,9142,44,7226,1872,590,1282
Maharashtra,Dowry Deaths,515,1179,0,448,1246,11242,12488,11,11871,606,47,559
Manipur,Dowry Deaths,5,0,0,5,0,0,0,0,0,0,0,0
Meghalaya,Dowry Deaths,7,1,1,6,1,13,14,0,14,0,0,0
Mizoram,Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,Dowry Deaths,0,1,0,1,0,0,0,0,0,0,0,0
Odisha,Dowry Deaths,209,785,0,186,808,2943,3751,0,3281,470,79,391
Punjab,Dowry Deaths,437,314,2,520,229,820,1049,0,808,241,130,111
Rajasthan,Dowry Deaths,22,581,0,26,577,3106,3683,23,3292,368,144,224
Sikkim,Dowry Deaths,5,0,0,0,5,4,9,0,0,9,6,3
Tamil Nadu,Dowry Deaths,280,262,4,275,263,1040,1303,0,995,308,83,225
Tripura,Dowry Deaths,39,77,10,19,87,104,191,0,149,42,3,39
Uttar Pradesh,Dowry Deaths,1803,10405,3302,2580,6326,24143,30469,128,26358,3983,1967,2016
Uttarakhand,Dowry Deaths,13,70,9,6,68,468,536,1,392,143,70,73
West Bengal,Dowry Deaths,578,1284,72,646,1144,3854,4998,0,4214,784,69,715
Total (State),Dowry Deaths,8961,23590,3474,9465,19612,80686,100298,507,85485,14306,4083,10223
A&N Islands,Dowry Deaths,0,2,0,1,1,8,9,0,9,0,0,0
Chandigarh,Dowry Deaths,2,4,0,1,5,8,13,0,2,11,6,5
D&N Haveli,Dowry Deaths,0,0,0,0,0,4,4,0,4,0,0,0
Daman & Diu,Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Dowry Deaths,176,268,0,183,261,2134,2395,0,2149,246,93,153
Lakshadweep,Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Dowry Deaths,3,0,0,0,3,21,24,0,24,0,0,0
Total (UTs),Dowry Deaths,181,274,0,185,270,2175,2445,0,2188,257,99,158
Total (All-India),Dowry Deaths,9142,23864,3474,9650,19882,82861,102743,507,87673,14563,4182,10381
Andhra Pradesh,Hurt/Grevious Hurt,17095,78531,330,21007,74289,117596,191885,14470,124209,53206,20981,32225
Arunachal Pradesh,Hurt/Grevious Hurt,578,645,193,653,377,3183,3560,43,3429,88,40,48
Assam,Hurt/Grevious Hurt,6597,8673,3431,6414,5425,13796,19221,8,14055,5158,474,4684
Bihar,Hurt/Grevious Hurt,11357,59613,650,10688,59632,168567,228199,6981,183267,37951,3114,34837
Chhattisgarh,Hurt/Grevious Hurt,350,18056,0,757,17649,50651,68300,4622,51537,12141,5180,6961
Goa,Hurt/Grevious Hurt,301,458,22,355,382,1446,1828,7,1537,284,32,252
Gujarat,Hurt/Grevious Hurt,1940,21958,0,1779,22119,271074,293193,920,276203,16070,1326,14744
Haryana,Hurt/Grevious Hurt,612,7137,0,418,7331,46735,54066,81,43976,10009,1898,8111
Himachal Pradesh,Hurt/Grevious Hurt,339,1465,1,220,1583,9636,11219,283,9581,1355,175,1180
Jammu & Kashmir,Hurt/Grevious Hurt,6,670,0,4,672,1995,2667,464,1840,363,15,348
Jharkhand,Hurt/Grevious Hurt,4867,8884,3,5642,8106,8594,16700,706,9582,6412,1536,4876
Karnataka,Hurt/Grevious Hurt,4233,33661,1032,3706,33156,60085,93241,3088,62622,27531,1062,26469
Kerala,Hurt/Grevious Hurt,5227,26691,0,5277,26641,124340,150981,1664,133454,15863,1799,14064
Madhya Pradesh,Hurt/Grevious Hurt,187,72809,0,210,72786,239407,312193,38486,220939,52768,25557,27211
Maharashtra,Hurt/Grevious Hurt,16335,59961,73,19905,56318,543366,599684,13143,538594,47947,2273,45674
Manipur,Hurt/Grevious Hurt,179,88,103,160,4,57,61,0,54,7,4,3
Meghalaya,Hurt/Grevious Hurt,137,323,137,148,175,934,1109,28,1029,52,16,36
Mizoram,Hurt/Grevious Hurt,38,120,5,33,120,135,255,0,143,112,85,27
Nagaland,Hurt/Grevious Hurt,14,74,8,25,55,23,78,4,40,34,25,9
Odisha,Hurt/Grevious Hurt,633,16647,18,735,16527,66067,82594,0,75053,7541,403,7138
Punjab,Hurt/Grevious Hurt,6780,7952,325,7730,6677,25390,32067,0,24579,7488,2178,5310
Rajasthan,Hurt/Grevious Hurt,6,33235,0,7,33234,124370,157604,10403,125473,21728,14983,6745
Sikkim,Hurt/Grevious Hurt,53,122,19,50,106,65,171,44,43,84,29,55
Tamil Nadu,Hurt/Grevious Hurt,16774,32031,979,17344,30482,72828,103310,90,74222,28998,13575,15423
Tripura,Hurt/Grevious Hurt,348,2482,337,394,2099,2257,4356,94,2726,1536,189,1347
Uttar Pradesh,Hurt/Grevious Hurt,1168,33515,1343,1594,31746,105583,137329,9081,113625,14623,7204,7419
Uttarakhand,Hurt/Grevious Hurt,90,1055,34,24,1087,3330,4417,210,3269,938,543,395
West Bengal,Hurt/Grevious Hurt,3174,20476,1052,3472,19126,60178,79304,111,72109,7084,633,6451
Total (State),Hurt/Grevious Hurt,99418,547332,10095,108751,527904,2121688,2649592,105031,2167190,377371,105329,272042
A&N Islands,Hurt/Grevious Hurt,67,63,0,30,100,1133,1233,0,1129,104,32,72
Chandigarh,Hurt/Grevious Hurt,16,136,2,37,113,336,449,0,318,131,46,85
D&N Haveli,Hurt/Grevious Hurt,14,37,0,3,48,372,420,0,387,33,0,33
Daman & Diu,Hurt/Grevious Hurt,6,16,0,6,16,58,74,12,40,22,0,22
Delhi UT,Hurt/Grevious Hurt,1719,2783,45,2025,2432,28849,31281,50,28445,2786,1167,1619
Lakshadweep,Hurt/Grevious Hurt,78,0,0,30,48,3,51,0,51,0,0,0
Puducherry,Hurt/Grevious Hurt,204,1641,0,114,1731,2945,4676,9,3791,876,408,468
Total (UTs),Hurt/Grevious Hurt,2104,4676,47,2245,4488,33696,38184,71,34161,3952,1653,2299
Total (All-India),Hurt/Grevious Hurt,101522,552008,10142,110996,532392,2155384,2687776,105102,2201351,381323,106982,274341
Andhra Pradesh,Importation of girls from Foreign Countries,0,0,0,0,0,2,2,0,2,0,0,0
Arunachal Pradesh,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Importation of girls from Foreign Countries,2,7,0,9,0,2,2,0,2,0,0,0
Bihar,Importation of girls from Foreign Countries,15,7,3,9,10,354,364,0,342,22,3,19
Chhattisgarh,Importation of girls from Foreign Countries,0,3,0,3,0,11,11,0,4,7,0,7
Goa,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,Importation of girls from Foreign Countries,0,1,0,0,1,0,1,0,1,0,0,0
Himachal Pradesh,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,Importation of girls from Foreign Countries,10,0,0,0,10,19,29,0,6,23,0,23
Karnataka,Importation of girls from Foreign Countries,0,0,0,0,0,2,2,0,0,2,0,2
Kerala,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,Importation of girls from Foreign Countries,0,17,0,0,17,180,197,17,171,9,7,2
Maharashtra,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,Importation of girls from Foreign Countries,0,0,0,0,0,2,2,0,2,0,0,0
Mizoram,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,Importation of girls from Foreign Countries,0,0,0,0,0,8,8,0,8,0,0,0
Punjab,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,Importation of girls from Foreign Countries,0,4,0,0,4,1,5,0,5,0,0,0
Sikkim,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,Importation of girls from Foreign Countries,5,19,5,1,18,17,35,0,24,11,0,11
Total (State),Importation of girls from Foreign Countries,32,58,8,22,60,598,658,17,567,74,10,64
A&N Islands,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Importation of girls from Foreign Countries,0,0,0,0,0,0,0,0,0,0,0,0
Total (All-India),Importation of girls from Foreign Countries,32,58,8,22,60,598,658,17,567,74,10,64
Andhra Pradesh,Insult to Modesty of Women,862,5327,8,1060,5121,5427,10548,1404,6260,2884,820,2064
