state_ut,crime_head,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_number_of_persons_under_trial_during_the_year,persons_against_whom_cases_were_compounded_or_withdrawn,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted,persons_acquitted
Uttarakhand,Foeticide,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,Foeticide,0,5,0,0,5,0,5,0,5,0,0,0
Total (State),Foeticide,15,94,0,16,93,167,260,0,235,25,13,12
A&N Islands,Foeticide,0,1,0,0,1,2,3,0,3,0,0,0
Chandigarh,Foeticide,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,Foeticide,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,Foeticide,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Foeticide,2,0,0,2,0,47,47,0,47,0,0,0
Lakshadweep,Foeticide,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Foeticide,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Foeticide,2,1,0,2,1,49,50,0,50,0,0,0
Total (All-India),Foeticide,17,95,0,18,94,216,310,0,285,25,13,12
Andhra Pradesh,Infanticide,5,6,1,4,6,5,11,0,8,3,0,3
Arunachal Pradesh,Infanticide,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Infanticide,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,Infanticide,0,0,0,0,0,6,6,0,4,2,0,2
Chhattisgarh,Infanticide,0,3,0,0,3,17,20,0,11,9,2,7
Goa,Infanticide,0,0,0,0,0,1,1,0,1,0,0,0
Gujarat,Infanticide,0,0,0,0,0,16,16,1,13,2,0,2
Haryana,Infanticide,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,Infanticide,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Infanticide,0,1,0,0,1,1,2,0,1,1,0,1
Jharkhand,Infanticide,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,Infanticide,0,1,0,0,1,2,3,0,3,0,0,0
Kerala,Infanticide,0,0,0,0,0,4,4,0,4,0,0,0
Madhya Pradesh,Infanticide,0,1,0,0,1,40,41,0,37,4,0,4
Maharashtra,Infanticide,4,2,0,5,1,34,35,0,35,0,0,0
Manipur,Infanticide,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,Infanticide,3,1,0,3,1,0,1,0,1,0,0,0
Mizoram,Infanticide,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,Infanticide,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,Infanticide,0,0,0,0,0,3,3,0,3,0,0,0
Punjab,Infanticide,3,1,0,3,1,6,7,0,6,1,1,0
Rajasthan,Infanticide,0,1,0,0,1,6,7,3,4,0,0,0
Sikkim,Infanticide,0,0,0,0,0,1,1,0,0,1,1,0
Tamil Nadu,Infanticide,5,4,0,7,2,3,5,0,4,1,0,1
Tripura,Infanticide,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Infanticide,0,20,0,0,20,139,159,0,147,12,10,2
Uttarakhand,Infanticide,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,Infanticide,0,0,0,0,0,4,4,0,4,0,0,0
Total (State),Infanticide,20,41,1,22,38,288,326,4,286,36,14,22
A&N Islands,Infanticide,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,Infanticide,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,Infanticide,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,Infanticide,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Infanticide,0,1,0,0,1,0,1,0,1,0,0,0
Lakshadweep,Infanticide,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Infanticide,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Infanticide,0,1,0,0,1,0,1,0,1,0,0,0
Total (All-India),Infanticide,20,42,1,22,39,288,327,4,287,36,14,22
Andhra Pradesh,Kidnapping & Abduction of Children,290,1012,18,451,833,1319,2152,10,1505,637,48,589
Arunachal Pradesh,Kidnapping & Abduction of Children,7,32,5,11,23,80,103,0,103,0,0,0
Assam,Kidnapping & Abduction of Children,69,75,31,63,50,54,104,0,68,36,5,31
Bihar,Kidnapping & Abduction of Children,1819,1577,30,1343,2023,4562,6585,3,5967,615,88,527
Chhattisgarh,Kidnapping & Abduction of Children,3,435,0,10,428,633,1061,0,956,105,43,62
Goa,Kidnapping & Abduction of Children,14,34,2,24,22,63,85,0,81,4,3,1
Gujarat,Kidnapping & Abduction of Children,79,1496,5,191,1379,4042,5421,5,5075,341,24,317
Haryana,Kidnapping & Abduction of Children,13,488,0,19,482,549,1031,0,815,216,37,179
Himachal Pradesh,Kidnapping & Abduction of Children,42,81,1,28,94,174,268,2,231,35,8,27
Jammu & Kashmir,Kidnapping & Abduction of Children,0,40,0,0,40,145,185,3,56,126,0,126
Jharkhand,Kidnapping & Abduction of Children,3,34,0,2,35,18,53,0,39,14,2,12
Karnataka,Kidnapping & Abduction of Children,74,379,9,81,363,292,655,0,558,97,2,95
Kerala,Kidnapping & Abduction of Children,45,155,0,78,122,518,640,0,622,18,5,13
Madhya Pradesh,Kidnapping & Abduction of Children,17,1165,2,33,1147,1544,2691,2,2046,643,152,491
Maharashtra,Kidnapping & Abduction of Children,481,1495,21,596,1359,5410,6769,0,6462,307,11,296
Manipur,Kidnapping & Abduction of Children,73,6,10,69,0,1,1,0,1,0,0,0
Meghalaya,Kidnapping & Abduction of Children,7,17,0,8,16,20,36,0,32,4,0,4
Mizoram,Kidnapping & Abduction of Children,0,2,0,0,2,1,3,0,2,1,1,0
Nagaland,Kidnapping & Abduction of Children,0,8,0,7,1,3,4,0,0,4,4,0
Odisha,Kidnapping & Abduction of Children,4,250,0,18,236,328,564,0,528,36,3,33
Punjab,Kidnapping & Abduction of Children,347,493,61,431,348,750,1098,0,843,255,80,175
Rajasthan,Kidnapping & Abduction of Children,42,709,0,52,699,1605,2304,0,1852,452,181,271
Sikkim,Kidnapping & Abduction of Children,1,25,0,0,26,6,32,0,6,26,12,14
Tamil Nadu,Kidnapping & Abduction of Children,473,506,112,456,411,825,1236,0,805,431,122,309
Tripura,Kidnapping & Abduction of Children,4,20,0,7,17,13,30,0,24,6,1,5
Uttar Pradesh,Kidnapping & Abduction of Children,1596,12978,4346,2839,7389,10000,17389,0,15577,1812,985,827
Uttarakhand,Kidnapping & Abduction of Children,2,31,0,2,31,147,178,0,118,60,21,39
West Bengal,Kidnapping & Abduction of Children,409,739,78,369,701,996,1697,37,1464,196,3,193
Total (State),Kidnapping & Abduction of Children,5914,24282,4731,7188,18277,34098,52375,62,45836,6477,1841,4636
A&N Islands,Kidnapping & Abduction of Children,7,3,0,1,9,35,44,0,40,4,0,4
Chandigarh,Kidnapping & Abduction of Children,10,55,0,17,48,42,90,0,62,28,9,19
D&N Haveli,Kidnapping & Abduction of Children,1,2,0,0,3,50,53,0,37,16,3,13
Daman & Diu,Kidnapping & Abduction of Children,0,1,0,0,1,2,3,0,3,0,0,0
Delhi UT,Kidnapping & Abduction of Children,109,603,50,188,474,1647,2121,0,1772,349,108,241
Lakshadweep,Kidnapping & Abduction of Children,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Kidnapping & Abduction of Children,3,5,0,1,7,57,64,0,61,3,0,3
Total (UTs),Kidnapping & Abduction of Children,130,669,50,207,542,1833,2375,0,1975,400,120,280
Total (All-India),Kidnapping & Abduction of Children,6044,24951,4781,7395,18819,35931,54750,62,47811,6877,1961,4916
Andhra Pradesh,Other Crimes against Children,183,748,84,219,628,672,1300,144,719,437,54,383
Arunachal Pradesh,Other Crimes against Children,1,7,1,1,6,2,8,0,8,0,0,0
Assam,Other Crimes against Children,62,67,29,36,64,39,103,0,73,30,0,30
Bihar,Other Crimes against Children,4,10,0,4,10,15,25,0,22,3,0,3
Chhattisgarh,Other Crimes against Children,16,1413,0,42,1387,1852,3239,24,2188,1027,396,631
Goa,Other Crimes against Children,40,123,3,105,55,148,203,3,197,3,1,2
Gujarat,Other Crimes against Children,14,241,0,23,232,1538,1770,4,1521,245,18,227
Haryana,Other Crimes against Children,2,245,0,7,240,127,367,0,216,151,34,117
Himachal Pradesh,Other Crimes against Children,7,91,1,10,87,216,303,1,273,29,4,25
Jammu & Kashmir,Other Crimes against Children,0,10,0,0,10,19,29,3,22,4,0,4
Jharkhand,Other Crimes against Children,22,20,0,18,24,37,61,0,30,31,7,24
Karnataka,Other Crimes against Children,6,144,0,31,119,114,233,0,195,38,2,36
Kerala,Other Crimes against Children,230,1073,0,365,938,1706,2644,0,2345,299,60,239
Madhya Pradesh,Other Crimes against Children,8,4677,0,29,4656,9206,13862,694,10355,2813,1047,1766
Maharashtra,Other Crimes against Children,639,2845,6,1078,2400,8745,11145,13,10527,605,65,540
Manipur,Other Crimes against Children,0,0,0,0,0,1,1,0,1,0,0,0
Meghalaya,Other Crimes against Children,0,12,0,2,10,7,17,0,12,5,3,2
Mizoram,Other Crimes against Children,2,15,2,6,9,19,28,0,5,23,22,1
Nagaland,Other Crimes against Children,0,1,0,1,0,0,0,0,0,0,0,0
Odisha,Other Crimes against Children,5,168,0,5,168,214,382,0,285,97,5,92
Punjab,Other Crimes against Children,14,99,5,54,54,66,120,0,82,38,20,18
Rajasthan,Other Crimes against Children,0,200,0,0,200,205,405,1,329,75,31,44
Sikkim,Other Crimes against Children,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Other Crimes against Children,30,173,9,55,139,36,175,0,116,59,18,41
Tripura,Other Crimes against Children,0,48,0,3,45,19,64,10,48,6,1,5
Uttar Pradesh,Other Crimes against Children,25,3040,287,514,2264,1989,4253,5,3783,465,261,204
Uttarakhand,Other Crimes against Children,0,93,0,17,76,23,99,0,64,35,20,15
West Bengal,Other Crimes against Children,38,109,17,48,82,136,218,11,171,36,3,33
Total (State),Other Crimes against Children,1348,15672,444,2673,13903,27151,41054,913,33587,6554,2072,4482
A&N Islands,Other Crimes against Children,16,18,0,3,31,126,157,0,152,5,3,2
Chandigarh,Other Crimes against Children,1,24,0,9,16,38,54,0,40,14,2,12
D&N Haveli,Other Crimes against Children,0,0,0,0,0,4,4,0,4,0,0,0
Daman & Diu,Other Crimes against Children,3,0,0,3,0,7,7,0,0,7,0,7
Delhi UT,Other Crimes against Children,240,555,5,251,539,1169,1708,0,1471,237,101,136
Lakshadweep,Other Crimes against Children,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Other Crimes against Children,3,2,0,1,4,13,17,0,17,0,0,0
Total (UTs),Other Crimes against Children,263,599,5,267,590,1357,1947,0,1684,263,106,157
Total (All-India),Other Crimes against Children,1611,16271,449,2940,14493,28508,43001,913,35271,6817,2178,4639
Andhra Pradesh,Other Murder of Children,50,97,0,36,111,216,327,0,264,63,5,58
Arunachal Pradesh,Other Murder of Children,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Other Murder of Children,14,19,8,17,8,36,44,0,28,16,1,15
Bihar,Other Murder of Children,179,128,0,131,176,843,1019,0,881,138,55,83
Chhattisgarh,Other Murder of Children,0,54,0,1,53,148,201,0,168,33,16,17
Goa,Other Murder of Children,0,0,0,0,0,21,21,0,20,1,0,1
Gujarat,Other Murder of Children,1,63,0,6,58,474,532,1,502,29,5,24
Haryana,Other Murder of Children,2,110,0,8,104,73,177,0,135,42,17,25
Himachal Pradesh,Other Murder of Children,0,8,0,0,8,14,22,0,18,4,1,3
Jammu & Kashmir,Other Murder of Children,0,10,0,0,10,14,24,0,23,1,0,1
Jharkhand,Other Murder of Children,5,8,0,2,11,0,11,0,7,4,0,4
Karnataka,Other Murder of Children,7,107,28,9,77,160,237,0,173,64,11,53
Kerala,Other Murder of Children,12,39,0,25,26,211,237,0,220,17,5,12
Madhya Pradesh,Other Murder of Children,0,163,0,1,162,683,845,0,711,134,67,67
Maharashtra,Other Murder of Children,105,221,1,93,232,1721,1953,0,1829,124,24,100
Manipur,Other Murder of Children,7,1,0,8,0,0,0,0,0,0,0,0
Meghalaya,Other Murder of Children,7,0,0,7,0,5,5,0,3,2,0,2
Mizoram,Other Murder of Children,0,1,0,0,1,1,2,0,2,0,0,0
Nagaland,Other Murder of Children,1,0,0,0,1,0,1,0,0,1,1,0
Odisha,Other Murder of Children,4,50,0,3,51,90,141,0,120,21,4,17
Punjab,Other Murder of Children,27,35,1,24,37,121,158,0,124,34,22,12
Rajasthan,Other Murder of Children,6,60,0,6,60,262,322,0,289,33,19,14
Sikkim,Other Murder of Children,0,0,0,0,0,8,8,0,0,8,8,0
Tamil Nadu,Other Murder of Children,65,103,1,66,101,228,329,0,267,62,16,46
Tripura,Other Murder of Children,3,8,0,0,11,10,21,0,16,5,1,4
Uttar Pradesh,Other Murder of Children,64,938,20,52,930,2428,3358,0,2847,511,325,186
Uttarakhand,Other Murder of Children,0,9,0,1,8,11,19,0,13,6,3,3
West Bengal,Other Murder of Children,50,64,5,47,62,38,100,0,65,35,6,29
Total (State),Other Murder of Children,609,2296,64,543,2298,7816,10114,1,8725,1388,612,776
A&N Islands,Other Murder of Children,1,0,0,0,1,14,15,0,14,1,1,0
Chandigarh,Other Murder of Children,0,3,0,2,1,6,7,0,5,2,2,0
D&N Haveli,Other Murder of Children,2,0,0,1,1,0,1,0,1,0,0,0
Daman & Diu,Other Murder of Children,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Other Murder of Children,13,71,2,3,79,272,351,0,294,57,28,29
Lakshadweep,Other Murder of Children,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Other Murder of Children,0,0,0,0,0,1,1,0,1,0,0,0
Total (UTs),Other Murder of Children,16,74,2,6,82,293,375,0,315,60,31,29
Total (All-India),Other Murder of Children,625,2370,66,549,2380,8109,10489,1,9040,1448,643,805
Andhra Pradesh,Procuration of Minor Girls,29,64,0,31,62,77,139,0,75,64,2,62
Arunachal Pradesh,Procuration of Minor Girls,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Procuration of Minor Girls,38,129,67,16,84,145,229,0,157,72,4,68
Bihar,Procuration of Minor Girls,15,202,7,92,118,363,481,6,417,58,13,45
Chhattisgarh,Procuration of Minor Girls,0,32,0,0,32,35,67,0,52,15,0,15
Goa,Procuration of Minor Girls,7,0,0,7,0,7,7,0,7,0,0,0
Gujarat,Procuration of Minor Girls,1,2,0,0,3,43,46,0,46,0,0,0
Haryana,Procuration of Minor Girls,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,Procuration of Minor Girls,1,3,1,2,1,4,5,0,3,2,1,1
Jammu & Kashmir,Procuration of Minor Girls,0,1,0,0,1,0,1,0,1,0,0,0
Jharkhand,Procuration of Minor Girls,0,10,0,0,10,0,10,0,3,7,0,7
Karnataka,Procuration of Minor Girls,2,49,0,17,34,29,63,0,54,9,0,9
Kerala,Procuration of Minor Girls,0,14,0,10,4,110,114,0,112,2,0,2
Madhya Pradesh,Procuration of Minor Girls,0,28,0,2,26,25,51,0,28,23,7,16
Maharashtra,Procuration of Minor Girls,25,61,0,50,36,314,350,0,337,13,0,13
Manipur,Procuration of Minor Girls,0,0,0,0,0,0,0,0,0,0,0,0
